timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
888016,0.3812,-0.1172,0.9619,-3.7051,-0.9531,-0.2383,other
888039,0.3816,-0.1168,0.9607,-3.707,-0.9492,-0.2539,other
888062,0.3821,-0.1168,0.9619,-3.707,-0.9492,-0.2617,other
888085,0.3842,-0.1168,0.9607,-3.7031,-0.9512,-0.2656,other
888108,0.3834,-0.1165,0.9612,-3.6934,-0.9531,-0.2617,other
888131,0.3843,-0.1171,0.9602,-3.6836,-0.9531,-0.2559,other
888154,0.3861,-0.1167,0.9603,-3.6699,-0.9531,-0.2422,other
888177,0.3826,-0.1177,0.9607,-3.6641,-0.9531,-0.2324,other
888200,0.3843,-0.1176,0.9608,-3.6641,-0.957,-0.2148,other
888223,0.3835,-0.1183,0.9615,-3.668,-0.9609,-0.207,other
888246,0.3839,-0.1166,0.9609,-3.6738,-0.9688,-0.1973,other
888269,0.3832,-0.1168,0.9615,-3.6816,-0.9727,-0.1953,other
888292,0.3823,-0.1167,0.96,-3.6855,-0.9746,-0.1992,other
888315,0.3839,-0.116,0.9606,-3.6895,-0.9785,-0.2129,other
888338,0.3838,-0.1178,0.9615,-3.6914,-0.9805,-0.2227,other
888361,0.3849,-0.1176,0.9604,-3.6934,-0.9844,-0.2383,other
888384,0.3851,-0.1163,0.9624,-3.6953,-0.9863,-0.2559,other
888407,0.3845,-0.1167,0.9608,-3.6934,-0.9863,-0.2656,other
888430,0.3857,-0.1169,0.9612,-3.6895,-0.9785,-0.2754,other
888453,0.386,-0.1163,0.962,-3.6855,-0.9707,-0.2793,other
888476,0.3848,-0.1179,0.9617,-3.6777,-0.957,-0.2793,other
888499,0.3862,-0.1168,0.9609,-3.6719,-0.9434,-0.2734,other
888522,0.387,-0.1161,0.9611,-3.668,-0.9355,-0.2656,other
888545,0.3855,-0.1169,0.9598,-3.666,-0.9277,-0.252,other
888568,0.3859,-0.1179,0.9613,-3.666,-0.9258,-0.2402,other
888591,0.3854,-0.1161,0.9613,-3.6699,-0.9258,-0.2266,other
888614,0.3857,-0.1171,0.9606,-3.6738,-0.9277,-0.2207,other
888637,0.3867,-0.1151,0.9609,-3.6797,-0.9336,-0.2168,other
888660,0.3843,-0.1166,0.9606,-3.6855,-0.9414,-0.2207,other
888683,0.3877,-0.1172,0.9617,-3.6875,-0.9434,-0.2266,other
888706,0.3866,-0.1182,0.9612,-3.6895,-0.9395,-0.2363,other
888729,0.3871,-0.1177,0.9611,-3.6895,-0.9355,-0.2441,other
888752,0.3882,-0.1174,0.9608,-3.6914,-0.9355,-0.25,other
888775,0.3875,-0.1167,0.9609,-3.6953,-0.9414,-0.2539,other
888798,0.3851,-0.1173,0.9611,-3.6992,-0.9473,-0.2539,other
888821,0.3856,-0.1173,0.9597,-3.7051,-0.9531,-0.25,other
888844,0.3884,-0.1173,0.9609,-3.709,-0.9512,-0.2461,other
888867,0.3861,-0.1171,0.9606,-3.7129,-0.9434,-0.2441,other
888890,0.3903,-0.1174,0.9609,-3.7148,-0.9395,-0.2422,other
888913,0.385,-0.1171,0.9603,-3.7148,-0.9414,-0.2402,other
888936,0.3854,-0.1168,0.9608,-3.7109,-0.9453,-0.2422,other
888959,0.386,-0.1165,0.9618,-3.7051,-0.9492,-0.2441,other
888982,0.3877,-0.118,0.9617,-3.6934,-0.9531,-0.248,other
889005,0.3895,-0.1168,0.962,-3.6855,-0.9551,-0.252,other
889028,0.3896,-0.1168,0.9625,-3.6719,-0.9531,-0.2578,other
889051,0.3875,-0.1163,0.9622,-3.6641,-0.9512,-0.2617,other
889074,0.3877,-0.1167,0.9608,-3.6621,-0.9512,-0.2617,other
889097,0.3884,-0.1165,0.9613,-3.6641,-0.9512,-0.2598,other
889120,0.3872,-0.1168,0.9618,-3.666,-0.9512,-0.2559,other
889143,0.3867,-0.1165,0.9601,-3.6738,-0.9512,-0.25,other
889166,0.3878,-0.1169,0.9603,-3.6816,-0.9512,-0.2461,other
889189,0.3884,-0.1173,0.96,-3.6855,-0.9473,-0.2441,other
889212,0.389,-0.1171,0.9619,-3.6914,-0.9434,-0.2422,other
889235,0.3879,-0.1169,0.9602,-3.6953,-0.9375,-0.2441,other
889258,0.389,-0.1184,0.9614,-3.6973,-0.9258,-0.2461,other
889281,0.3894,-0.1167,0.9601,-3.6953,-0.916,-0.2461,other
889304,0.3893,-0.1176,0.9604,-3.6914,-0.9102,-0.2441,other
889327,0.3872,-0.1173,0.9615,-3.6816,-0.9063,-0.2383,other
889350,0.3885,-0.1171,0.9607,-3.6719,-0.9063,-0.2363,other
889373,0.3887,-0.1166,0.9609,-3.6582,-0.9063,-0.2305,other
889396,0.3864,-0.1168,0.9615,-3.6504,-0.9063,-0.2305,other
889419,0.3882,-0.1178,0.9614,-3.6406,-0.9023,-0.2285,other
889442,0.3884,-0.1171,0.9609,-3.6348,-0.8965,-0.2305,other
889465,0.3894,-0.1173,0.9603,-3.6328,-0.8906,-0.2305,other
889488,0.39,-0.1182,0.9619,-3.6328,-0.8809,-0.2305,other
889511,0.3878,-0.1183,0.9606,-3.6348,-0.873,-0.2305,other
889534,0.3899,-0.1179,0.9608,-3.6367,-0.8633,-0.2324,other
889557,0.3884,-0.1167,0.9623,-3.6387,-0.8535,-0.2383,other
889580,0.3911,-0.1171,0.9613,-3.6387,-0.8477,-0.2441,other
889603,0.3898,-0.1161,0.9614,-3.6387,-0.8398,-0.25,other
889626,0.3893,-0.1183,0.9607,-3.6406,-0.8359,-0.2539,other
889649,0.3878,-0.1168,0.9618,-3.6445,-0.832,-0.2598,other
889672,0.39,-0.1167,0.9614,-3.6504,-0.8301,-0.2617,other
889695,0.3884,-0.1167,0.9614,-3.6543,-0.8301,-0.2656,other
889718,0.3881,-0.1172,0.9619,-3.6602,-0.832,-0.2695,other
889741,0.3894,-0.1165,0.9611,-3.6602,-0.834,-0.2715,other
889764,0.3893,-0.1171,0.9612,-3.6602,-0.8379,-0.2734,other
889787,0.3896,-0.1173,0.9606,-3.6582,-0.8418,-0.2695,other
889810,0.3923,-0.1176,0.9608,-3.6523,-0.8457,-0.2656,other
889833,0.3896,-0.1167,0.9608,-3.6465,-0.8496,-0.2559,other
