timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
6848,0.0554,-0.2439,1.0316,-2.1699,1.6738,0.4453,other
6871,0.0526,-0.2466,1.0298,-2.2148,1.6016,0.4453,other
6894,0.0527,-0.2473,1.0311,-2.3398,1.3926,0.4258,other
6917,0.0453,-0.2449,1.0327,-2.4922,1.1465,0.416,other
6940,0.0488,-0.2456,1.0314,-2.5859,1.0039,0.4336,other
6963,0.0435,-0.2448,1.0316,-2.6855,0.8516,0.502,other
6986,0.0483,-0.2432,1.0315,-2.7227,0.7852,0.5684,other
7009,0.0442,-0.246,1.0311,-2.7422,0.7129,0.6641,other
7032,0.0452,-0.2445,1.0327,-2.7461,0.6348,0.7227,other
7055,0.0479,-0.2432,1.0306,-2.7539,0.5742,0.7305,other
7078,0.0383,-0.241,1.0337,-2.7734,0.4766,0.6914,other
7101,0.0415,-0.2421,1.0305,-2.791,0.4141,0.6387,other
7124,0.0428,-0.2456,1.0269,-2.8281,0.3262,0.5371,other
7147,0.0393,-0.2443,1.031,-2.8809,0.2207,0.4199,other
7170,0.0415,-0.2446,1.0305,-2.9258,0.1465,0.3457,other
7193,0.0393,-0.2423,1.0316,-2.9922,0.0449,0.2578,other
7216,0.0396,-0.2473,1.0331,-3.0312,-0.0059,0.2266,other
7239,0.0396,-0.2352,1.0306,-3.0879,-0.0566,0.2187,other
7262,0.0408,-0.2433,1.0305,-3.1387,-0.1094,0.2246,other
7285,0.0448,-0.2445,1.031,-3.25,-0.2832,0.2168,other
7308,0.0403,-0.2439,1.0325,-3.4141,-0.6113,0.1562,other
7331,0.0402,-0.2438,1.0311,-3.5352,-0.8945,0.0859,other
7354,0.0417,-0.2438,1.0325,-3.709,-1.3398,-0.0488,other
7377,0.0394,-0.2416,1.0336,-3.8008,-1.6074,-0.1406,other
7400,0.0461,-0.2427,1.031,-3.8848,-1.9141,-0.2598,other
7423,0.0387,-0.2433,1.0332,-3.9043,-2.1055,-0.3418,other
7446,0.0398,-0.2419,1.0365,-3.8887,-2.1895,-0.377,other
7469,0.0555,-0.2406,1.0265,-3.8379,-2.3105,-0.4082,other
7492,0.0588,-0.2245,1.0247,-3.793,-2.4453,-0.416,other
7515,0.0389,-0.2539,1.0366,-3.6992,-2.7656,-0.3535,other
7538,0.0588,-0.2423,1.0271,-3.459,-3.0488,-0.1367,other
7561,0.0717,-0.2394,1.0227,-3.1621,-3.082,0.082,other
7584,0.0337,-0.2354,1.0419,-2.5195,-2.7598,0.5039,other
7607,0.0409,-0.2354,1.0326,-2.0039,-2.2559,0.8809,other
7630,0.0422,-0.2341,1.0295,-1.2148,-1.125,1.6035,other
7653,0.0391,-0.239,1.0366,-0.7637,0.2578,2.4512,other
7676,0.0403,-0.2334,1.0299,-0.3164,1.0547,3.0332,other
7699,0.0393,-0.2367,1.037,-0.2031,2.0879,3.834,other
7722,0.0398,-0.2339,1.0304,-0.3145,2.541,4.2598,other
7745,0.0397,-0.2368,1.0339,-0.7266,2.8047,4.6309,other
7768,0.0396,-0.234,1.0333,-1.1172,2.7227,4.668,other
7791,0.0397,-0.2343,1.0304,-1.7813,2.3301,4.418,other
7814,0.0394,-0.2338,1.0323,-2.4258,1.7695,3.8437,other
7837,0.0396,-0.2324,1.0355,-2.7988,1.3867,3.3262,other
7860,0.0396,-0.2336,1.0334,-3.2344,0.8887,2.4297,other
7883,0.0396,-0.2338,1.0338,-3.4375,0.625,1.7988,other
7906,0.0396,-0.235,1.0308,-3.625,0.3027,0.8809,other
7929,0.0397,-0.2345,1.0327,-3.6855,0.0312,0.0898,other
7952,0.0393,-0.2332,1.0323,-3.6504,-0.123,-0.3184,other
7975,0.0356,-0.234,1.0354,-3.4727,-0.2715,-0.7051,other
7998,0.0377,-0.2299,1.0341,-3.2754,-0.2852,-0.8086,other
8021,0.0386,-0.2314,1.035,-2.9219,-0.1719,-0.7637,other
8044,0.0392,-0.2323,1.0331,-2.6953,0.0293,-0.5547,other
8067,0.0387,-0.2314,1.0338,-2.4473,0.1602,-0.3789,other
8090,0.0387,-0.2325,1.0315,-2.3691,0.2793,-0.1309,other
8113,0.0356,-0.2302,1.0353,-2.4141,0.2832,-0.002,other
8136,0.0396,-0.2314,1.032,-2.5918,0.1699,0.1211,other
8159,0.0393,-0.2307,1.0314,-2.7598,0.0215,0.1543,other
8182,0.0352,-0.2308,1.0347,-3.043,-0.2773,0.1504,other
8205,0.0403,-0.2305,1.0316,-3.3047,-0.5996,0.1094,other
8228,0.038,-0.2311,1.0322,-3.4434,-0.791,0.0762,other
8251,0.0328,-0.2308,1.0338,-3.5801,-1.0078,0.0391,other
8274,0.0381,-0.2308,1.0323,-3.6152,-1.0918,0.0254,other
8297,0.0389,-0.2302,1.0289,-3.5898,-1.127,0.0234,other
8320,0.0236,-0.2273,1.0354,-3.4941,-1.0645,0.0391,other
8343,0.0338,-0.2297,1.0339,-3.4043,-0.9766,0.0566,other
8366,0.0381,-0.2306,1.0334,-3.2734,-0.8262,0.0742,other
8389,0.0304,-0.2295,1.0353,-3.2148,-0.7598,0.0684,other
