timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1159,-0.1409,-0.2339,0.9939,-7.2422,-7.2207,-7.1836,other
1182,-0.0802,-0.1769,1.0531,-14.0391,-14.0625,-13.8691,other
1205,-0.0974,-0.1927,1.037,-18.332,-18.418,-18.0508,other
1228,-0.0923,-0.1887,1.0403,-22.9824,-23.1328,-22.4492,other
1251,-0.0956,-0.1896,1.0389,-24.4199,-24.6934,-23.6992,other
1274,-0.093,-0.1887,1.0404,-23.9453,-23.8965,-22.7324,other
1297,-0.0946,-0.1897,1.0413,-20.8262,-20.4258,-19.0938,other
1320,-0.0942,-0.1873,1.0405,-17.7773,-17.0664,-15.6855,other
1343,-0.0941,-0.1884,1.0402,-12.6094,-11.377,-10.0117,other
1366,-0.0929,-0.1885,1.0398,-9.2324,-7.6523,-6.3398,other
1389,-0.0952,-0.1879,1.0413,-4.8789,-2.834,-1.6406,other
1412,-0.0945,-0.1882,1.04,-1.8047,0.5918,1.6543,other
1435,-0.0942,-0.1892,1.0393,-0.5469,2.0078,2.9902,other
1458,-0.0935,-0.189,1.0393,0.2422,2.9238,3.8125,other
1481,-0.0934,-0.1886,1.038,0.168,2.8691,3.7148,other
1504,-0.0939,-0.1891,1.0403,-0.5566,2.1016,2.9121,other
1527,-0.0944,-0.189,1.0386,-1.6602,0.9023,1.7168,other
1550,-0.0939,-0.1884,1.0381,-2.4316,0.0547,0.8867,other
1573,-0.0942,-0.1888,1.0393,-3.4473,-1.0781,-0.1973,other
1596,-0.0936,-0.1902,1.0397,-3.9629,-1.6641,-0.7402,other
1619,-0.0936,-0.1895,1.0389,-4.4453,-2.2285,-1.2441,other
1642,-0.0941,-0.1879,1.0394,-4.5977,-2.4297,-1.3945,other
1665,-0.0928,-0.1887,1.0377,-4.5488,-2.3965,-1.3398,other
1688,-0.0923,-0.1882,1.0382,-4.3262,-2.1738,-1.1055,other
1711,-0.0923,-0.188,1.0409,-4.125,-1.957,-0.8945,other
1734,-0.0937,-0.1893,1.0392,-3.8125,-1.6113,-0.5703,other
1757,-0.0931,-0.1888,1.0385,-3.627,-1.3984,-0.3789,other
1780,-0.0936,-0.1884,1.038,-3.418,-1.1465,-0.1621,other
1803,-0.0924,-0.1875,1.0381,-3.3066,-0.9941,-0.043,other
1826,-0.0925,-0.188,1.0386,-3.2832,-0.9473,-0.0156,other
1849,-0.0939,-0.1888,1.0392,-3.3086,-0.9395,-0.0371,other
1872,-0.0934,-0.1881,1.0381,-3.3555,-0.9668,-0.0762,other
1895,-0.0941,-0.1884,1.0397,-3.4434,-1.0332,-0.1543,other
1918,-0.0937,-0.1887,1.0372,-3.5293,-1.1094,-0.2324,other
1941,-0.0927,-0.1877,1.0391,-3.5801,-1.1582,-0.2734,other
1964,-0.0923,-0.1887,1.0396,-3.6309,-1.2129,-0.3164,other
1987,-0.0944,-0.1884,1.0389,-3.6504,-1.2383,-0.3301,other
2010,-0.094,-0.1898,1.0383,-3.6562,-1.2539,-0.332,other
2033,-0.0937,-0.1888,1.0371,-3.6445,-1.2461,-0.3184,other
2056,-0.0935,-0.1887,1.0382,-3.627,-1.2344,-0.3027,other
2079,-0.0933,-0.1881,1.0385,-3.5996,-1.2148,-0.2812,other
2102,-0.0928,-0.1882,1.0365,-3.5801,-1.2031,-0.2695,other
2125,-0.0934,-0.1884,1.0356,-3.5547,-1.1914,-0.2598,other
2148,-0.0934,-0.1882,1.0367,-3.541,-1.1875,-0.2617,other
2171,-0.0942,-0.1898,1.0377,-3.5254,-1.1895,-0.2656,other
2194,-0.0944,-0.1895,1.0382,-3.5195,-1.1973,-0.2773,other
2217,-0.0941,-0.1884,1.0394,-3.5215,-1.2031,-0.2852,other
2240,-0.0931,-0.1886,1.0396,-3.5312,-1.2109,-0.2949,other
2263,-0.0933,-0.1887,1.0381,-3.541,-1.2168,-0.3027,other
2286,-0.0935,-0.1887,1.038,-3.5586,-1.2246,-0.3086,other
2309,-0.094,-0.1881,1.0398,-3.5742,-1.2285,-0.3105,other
2332,-0.0952,-0.1888,1.0393,-3.584,-1.2305,-0.3105,other
2355,-0.0942,-0.189,1.0367,-3.5937,-1.2305,-0.3086,other
2378,-0.0936,-0.1877,1.0383,-3.5957,-1.2285,-0.3047,other
2401,-0.0948,-0.1891,1.0383,-3.5918,-1.2227,-0.2969,other
2424,-0.0944,-0.1896,1.0387,-3.582,-1.2188,-0.2871,other
2447,-0.0928,-0.1885,1.0385,-3.5742,-1.2168,-0.2812,other
2470,-0.0934,-0.1877,1.0378,-3.5605,-1.2148,-0.2734,other
2493,-0.0923,-0.1887,1.0376,-3.5547,-1.2148,-0.2715,other
2516,-0.0934,-0.1881,1.0377,-3.5527,-1.2168,-0.2715,other
2539,-0.093,-0.1879,1.0393,-3.5547,-1.2148,-0.2773,other
2562,-0.0929,-0.1897,1.0396,-3.5645,-1.2148,-0.2812,other
2585,-0.0929,-0.1896,1.0389,-3.5762,-1.2188,-0.2891,other
2608,-0.0941,-0.1895,1.0391,-3.584,-1.2227,-0.293,other
2631,-0.0935,-0.1887,1.0371,-3.5918,-1.2285,-0.2969,other
2654,-0.093,-0.1892,1.0394,-3.5957,-1.2305,-0.2949,other
2677,-0.093,-0.1884,1.0376,-3.5918,-1.2285,-0.293,other
2700,-0.0948,-0.1884,1.0374,-3.5762,-1.2207,-0.2891,other
2723,-0.0933,-0.1868,1.0377,-3.5586,-1.2129,-0.2871,other
2746,-0.0931,-0.1884,1.0391,-3.5312,-1.1934,-0.2852,other
2769,-0.0939,-0.1886,1.0403,-3.5137,-1.1797,-0.2871,other
2792,-0.0947,-0.1888,1.0383,-3.4941,-1.1641,-0.291,other
2815,-0.0922,-0.1882,1.0399,-3.4863,-1.1582,-0.2969,other
2838,-0.0937,-0.1877,1.0388,-3.4883,-1.1582,-0.2988,other
2861,-0.0934,-0.1866,1.0388,-3.4961,-1.166,-0.2969,other
2884,-0.0935,-0.1892,1.0397,-3.5059,-1.1738,-0.2949,other
2907,-0.0931,-0.189,1.038,-3.5234,-1.1836,-0.2891,other
2930,-0.094,-0.1887,1.0398,-3.5449,-1.1895,-0.2871,other
2953,-0.093,-0.1888,1.0388,-3.5586,-1.1914,-0.2852,other
2976,-0.0929,-0.1892,1.0386,-3.5781,-1.1875,-0.2871,other
2999,-0.0937,-0.188,1.0394,-3.5879,-1.1836,-0.291,other
3022,-0.0933,-0.1879,1.0387,-3.5937,-1.1758,-0.2949,other
3045,-0.0933,-0.1885,1.0377,-3.5937,-1.1719,-0.2988,other
3068,-0.0934,-0.1888,1.0389,-3.5898,-1.166,-0.2988,other
3091,-0.0939,-0.1884,1.0386,-3.5859,-1.1621,-0.2969,other
3114,-0.0923,-0.1884,1.0377,-3.582,-1.1602,-0.291,other
3137,-0.093,-0.187,1.0388,-3.5742,-1.1582,-0.2812,other
3160,-0.0935,-0.1875,1.0394,-3.5703,-1.1602,-0.2715,other
3183,-0.0935,-0.1884,1.0383,-3.5664,-1.1641,-0.2617,other
3206,-0.0934,-0.1888,1.0385,-3.5684,-1.168,-0.2578,other
3229,-0.0936,-0.1892,1.0391,-3.5723,-1.168,-0.2578,other
3252,-0.093,-0.1879,1.0385,-3.582,-1.1641,-0.2656,other
3275,-0.0944,-0.1888,1.0396,-3.5898,-1.1582,-0.2734,other
3298,-0.0937,-0.1885,1.0387,-3.5996,-1.1484,-0.2852,other
3321,-0.0937,-0.1896,1.0383,-3.6094,-1.1367,-0.293,other
3344,-0.0933,-0.1886,1.0392,-3.6113,-1.1289,-0.2949,other
3367,-0.0936,-0.1881,1.04,-3.6133,-1.1211,-0.2969,other
3390,-0.0937,-0.1884,1.0387,-3.6113,-1.1191,-0.2969,other
3413,-0.093,-0.1891,1.0394,-3.6055,-1.125,-0.2969,other
3436,-0.0937,-0.188,1.0398,-3.5996,-1.1328,-0.293,other
3459,-0.093,-0.1885,1.0406,-3.5879,-1.1445,-0.291,other
3482,-0.094,-0.1887,1.0385,-3.5801,-1.1582,-0.2852,other
3505,-0.0955,-0.1884,1.0393,-3.5762,-1.168,-0.2812,other
3528,-0.0927,-0.1875,1.0383,-3.5742,-1.1777,-0.2793,other
3551,-0.094,-0.1873,1.0396,-3.5781,-1.1816,-0.2793,other
3574,-0.0931,-0.1885,1.0398,-3.5879,-1.1836,-0.2812,other
3597,-0.0937,-0.1896,1.0377,-3.5977,-1.1797,-0.2852,other
3620,-0.0946,-0.1893,1.0405,-3.6055,-1.1758,-0.291,other
3643,-0.0947,-0.1887,1.0396,-3.6133,-1.166,-0.2988,other
3666,-0.0931,-0.1874,1.0375,-3.6172,-1.1563,-0.3027,other
3689,-0.0953,-0.1886,1.0392,-3.623,-1.1445,-0.3105,other
3712,-0.0936,-0.1875,1.0417,-3.625,-1.1367,-0.3164,other
3735,-0.0942,-0.1903,1.038,-3.625,-1.1367,-0.3184,other
3758,-0.0927,-0.1875,1.0398,-3.625,-1.1445,-0.3203,other
3781,-0.095,-0.1896,1.0375,-3.6211,-1.1543,-0.3184,other
3804,-0.0945,-0.1869,1.0388,-3.6152,-1.1738,-0.3105,other
3827,-0.0942,-0.1893,1.04,-3.6094,-1.1895,-0.3008,other
3850,-0.0931,-0.187,1.0386,-3.6035,-1.1973,-0.2949,other
3873,-0.0948,-0.1886,1.0404,-3.5996,-1.207,-0.2871,other
3896,-0.0935,-0.1891,1.041,-3.5996,-1.2148,-0.2832,other
3919,-0.0928,-0.1887,1.0375,-3.5996,-1.2227,-0.2812,other
3942,-0.0934,-0.188,1.0386,-3.5996,-1.2285,-0.2832,other
3965,-0.0939,-0.1884,1.0385,-3.5977,-1.2383,-0.291,other
3988,-0.0924,-0.1886,1.0397,-3.5898,-1.2461,-0.3008,other
4011,-0.0933,-0.1888,1.041,-3.582,-1.25,-0.3086,other
4034,-0.0934,-0.1884,1.0398,-3.5703,-1.25,-0.3164,other
4057,-0.093,-0.1881,1.0411,-3.5625,-1.2441,-0.3203,other
4080,-0.0927,-0.1885,1.0383,-3.5527,-1.2305,-0.3223,other
4103,-0.0933,-0.1876,1.0415,-3.5449,-1.2129,-0.3184,other
4126,-0.0936,-0.1891,1.0396,-3.5391,-1.1992,-0.3145,other
4149,-0.093,-0.1876,1.0378,-3.5352,-1.1738,-0.3086,other
4172,-0.0934,-0.1886,1.0397,-3.5332,-1.1543,-0.3047,other
4195,-0.0927,-0.1876,1.0393,-3.5332,-1.125,-0.3008,other
4218,-0.0931,-0.1886,1.0403,-3.543,-1.0996,-0.3008,other
4241,-0.0945,-0.1892,1.04,-3.5508,-1.0879,-0.3008,other
4264,-0.094,-0.1882,1.0393,-3.5645,-1.0801,-0.3027,other
4287,-0.0936,-0.1888,1.0392,-3.5742,-1.084,-0.3047,other
4310,-0.094,-0.1887,1.0403,-3.5859,-1.0957,-0.3066,other
4333,-0.093,-0.1877,1.0397,-3.5918,-1.1074,-0.3066,other
4356,-0.0934,-0.1885,1.0403,-3.5977,-1.1289,-0.3066,other
4379,-0.0933,-0.1888,1.0414,-3.5937,-1.1504,-0.3027,other
4402,-0.0919,-0.1892,1.0396,-3.5859,-1.1621,-0.2988,other
4425,-0.0934,-0.1898,1.0399,-3.5723,-1.1797,-0.293,other
4448,-0.0944,-0.1887,1.0399,-3.5645,-1.1895,-0.2891,other
4471,-0.0927,-0.188,1.0404,-3.5547,-1.1973,-0.2871,other
4494,-0.0931,-0.1881,1.0393,-3.5488,-1.2012,-0.2832,other
4517,-0.0928,-0.1884,1.0402,-3.5488,-1.2012,-0.2812,other
4540,-0.0927,-0.1881,1.0397,-3.5547,-1.1992,-0.2754,other
4563,-0.0941,-0.1881,1.04,-3.5586,-1.1953,-0.2715,other
4586,-0.0931,-0.1885,1.0409,-3.5664,-1.1895,-0.2676,other
4609,-0.0931,-0.1881,1.0391,-3.5723,-1.1816,-0.2637,other
4632,-0.0944,-0.1887,1.0391,-3.5742,-1.1758,-0.2617,other
4655,-0.0937,-0.1884,1.0381,-3.5742,-1.1621,-0.2598,other
4678,-0.0931,-0.1887,1.0396,-3.5723,-1.1523,-0.2617,other
4701,-0.0936,-0.1881,1.0403,-3.5684,-1.1445,-0.2656,other
4724,-0.0919,-0.1879,1.0391,-3.5625,-1.1426,-0.2715,other
4747,-0.0939,-0.1879,1.0371,-3.5547,-1.1484,-0.2773,other
4770,-0.0928,-0.1879,1.0392,-3.5449,-1.1602,-0.2852,other
4793,-0.0931,-0.189,1.0374,-3.5391,-1.1699,-0.291,other
4816,-0.093,-0.1881,1.0403,-3.5293,-1.1797,-0.2949,other
4839,-0.0937,-0.1876,1.0374,-3.5234,-1.1836,-0.2969,other
4862,-0.0936,-0.1884,1.0376,-3.5195,-1.1895,-0.2988,other
4885,-0.0924,-0.1902,1.0396,-3.5215,-1.1914,-0.3008,other
4908,-0.0933,-0.1875,1.0393,-3.5254,-1.1895,-0.3008,other
4931,-0.093,-0.1891,1.0397,-3.5371,-1.1855,-0.3008,other
4954,-0.093,-0.188,1.0381,-3.543,-1.1816,-0.3027,other
4977,-0.0927,-0.1882,1.0397,-3.5488,-1.1797,-0.3027,other
5000,-0.0931,-0.1882,1.0382,-3.5508,-1.1797,-0.3027,other
5023,-0.093,-0.1885,1.0382,-3.5488,-1.1816,-0.3027,other
5046,-0.0929,-0.1888,1.0393,-3.5469,-1.1855,-0.2988,other
5069,-0.0934,-0.1887,1.0389,-3.5449,-1.1875,-0.2969,other
5092,-0.0929,-0.1879,1.0393,-3.5469,-1.1914,-0.293,other
5115,-0.0931,-0.1877,1.0396,-3.5508,-1.1953,-0.2891,other
5138,-0.0927,-0.1873,1.0399,-3.5586,-1.1992,-0.2871,other
5161,-0.0933,-0.1888,1.0378,-3.5684,-1.207,-0.2852,other
