timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1159,-0.2715,-0.2416,0.9714,-7.248,-7.2246,-7.1816,other
1182,-0.2156,-0.1875,1.036,-14.0703,-14.0645,-13.8574,other
1205,-0.2273,-0.1975,1.0157,-18.3887,-18.4141,-18.0273,other
1228,-0.2275,-0.1934,1.0159,-23.0762,-23.1172,-22.4102,other
1251,-0.2261,-0.1917,1.0153,-24.5332,-24.6777,-23.6465,other
1274,-0.2235,-0.1954,1.0184,-24.0625,-23.8945,-22.6758,other
1297,-0.2253,-0.1957,1.0187,-20.9277,-20.4668,-19.0371,other
1320,-0.2286,-0.1982,1.0189,-17.8555,-17.1465,-15.6367,other
1343,-0.2245,-0.1957,1.0184,-12.6484,-11.5273,-9.9824,other
1366,-0.2253,-0.1949,1.0194,-9.2441,-7.8457,-6.3262,other
1389,-0.2288,-0.1941,1.0181,-4.8516,-3.0879,-1.6504,other
1412,-0.225,-0.1964,1.0161,-1.7422,0.291,1.623,other
1435,-0.2239,-0.1953,1.0164,-0.4648,1.6875,2.9492,other
1458,-0.2275,-0.197,1.0204,0.3418,2.5937,3.7598,other
1481,-0.2281,-0.1958,1.0216,0.2695,2.541,3.6562,other
1504,-0.2249,-0.1957,1.0176,-0.4648,1.7949,2.8555,other
1527,-0.2255,-0.1953,1.0189,-1.5879,0.627,1.6602,other
1550,-0.2289,-0.1963,1.0204,-2.375,-0.1992,0.834,other
1573,-0.2249,-0.1942,1.0176,-3.4141,-1.3047,-0.248,other
1596,-0.2251,-0.1954,1.0157,-3.9434,-1.873,-0.793,other
1619,-0.2288,-0.196,1.0192,-4.4414,-2.418,-1.2949,other
1642,-0.2256,-0.1968,1.0193,-4.5996,-2.6055,-1.4395,other
1665,-0.2262,-0.1951,1.0199,-4.5547,-2.5645,-1.3789,other
1688,-0.2274,-0.1951,1.0195,-4.334,-2.3359,-1.1289,other
1711,-0.225,-0.1945,1.0188,-4.1348,-2.1211,-0.9082,other
1734,-0.2262,-0.1969,1.017,-3.8242,-1.7832,-0.5684,other
1757,-0.2291,-0.1956,1.0179,-3.6406,-1.5762,-0.3691,other
1780,-0.2258,-0.1963,1.0182,-3.4316,-1.332,-0.1484,other
1803,-0.2266,-0.1943,1.0164,-3.3125,-1.1816,-0.0332,other
1826,-0.2279,-0.1953,1.0175,-3.2832,-1.1348,-0.0078,other
1849,-0.2271,-0.1947,1.0175,-3.2949,-1.1387,-0.0352,other
1872,-0.2257,-0.1959,1.0183,-3.3301,-1.1797,-0.0801,other
1895,-0.229,-0.1965,1.0182,-3.4043,-1.2773,-0.1699,other
1918,-0.2301,-0.196,1.0168,-3.4824,-1.3809,-0.2598,other
1941,-0.2262,-0.1954,1.0166,-3.5293,-1.4395,-0.3125,other
1964,-0.2273,-0.1952,1.0192,-3.582,-1.4961,-0.373,other
1987,-0.2269,-0.1956,1.0172,-3.6035,-1.5137,-0.3984,other
2010,-0.2267,-0.1962,1.0172,-3.6152,-1.5156,-0.418,other
2033,-0.2274,-0.1958,1.0173,-3.6094,-1.5039,-0.416,other
2056,-0.2267,-0.1946,1.016,-3.5977,-1.4941,-0.4043,other
2079,-0.228,-0.1951,1.0173,-3.5781,-1.4941,-0.3828,other
2102,-0.2264,-0.1951,1.0167,-3.5645,-1.502,-0.3691,other
2125,-0.2286,-0.1959,1.0183,-3.5469,-1.5273,-0.3535,other
2148,-0.229,-0.1958,1.0186,-3.5391,-1.5469,-0.3437,other
2171,-0.2274,-0.1958,1.0192,-3.5371,-1.5703,-0.3398,other
2194,-0.2281,-0.1946,1.0181,-3.5449,-1.582,-0.3398,other
2217,-0.2278,-0.1954,1.0162,-3.5527,-1.582,-0.3398,other
2240,-0.2263,-0.1951,1.0184,-3.5645,-1.5781,-0.3437,other
2263,-0.2272,-0.1962,1.0183,-3.5703,-1.5742,-0.3457,other
2286,-0.2272,-0.1958,1.0186,-3.5742,-1.5723,-0.3477,other
2309,-0.2258,-0.1941,1.0183,-3.5723,-1.5762,-0.3437,other
2332,-0.226,-0.1953,1.0157,-3.5684,-1.5801,-0.3359,other
2355,-0.2281,-0.1948,1.0172,-3.5625,-1.5859,-0.3223,other
2378,-0.2277,-0.1962,1.0179,-3.5566,-1.5918,-0.3105,other
2401,-0.2279,-0.1957,1.0183,-3.5527,-1.5977,-0.2969,other
2424,-0.2271,-0.1962,1.0194,-3.5547,-1.6133,-0.2891,other
2447,-0.2264,-0.196,1.0188,-3.5586,-1.6289,-0.2852,other
2470,-0.2263,-0.1951,1.0181,-3.5684,-1.6582,-0.2871,other
2493,-0.2258,-0.1945,1.0204,-3.5742,-1.6758,-0.2891,other
2516,-0.2272,-0.1956,1.0171,-3.584,-1.6973,-0.2969,other
2539,-0.2271,-0.1963,1.0178,-3.5859,-1.7109,-0.3027,other
2562,-0.229,-0.197,1.0209,-3.5859,-1.7148,-0.3066,other
2585,-0.2251,-0.1962,1.0166,-3.5762,-1.707,-0.3105,other
2608,-0.2275,-0.1942,1.0186,-3.5645,-1.6934,-0.3125,other
2631,-0.2281,-0.1927,1.0116,-3.5352,-1.6582,-0.3164,other
2654,-0.2264,-0.1963,1.0189,-3.5098,-1.625,-0.3203,other
2677,-0.226,-0.1942,1.0193,-3.4668,-1.5625,-0.3223,other
2700,-0.2307,-0.1971,1.0168,-3.4277,-1.4941,-0.3242,other
2723,-0.226,-0.1926,1.0173,-3.4121,-1.4512,-0.3223,other
2746,-0.229,-0.1964,1.019,-3.4004,-1.3945,-0.3184,other
2769,-0.2278,-0.1935,1.0176,-3.4043,-1.3691,-0.3164,other
2792,-0.2289,-0.1971,1.0204,-3.4238,-1.3535,-0.3125,other
2815,-0.2273,-0.1952,1.0187,-3.4531,-1.3711,-0.3125,other
2838,-0.2296,-0.1964,1.0173,-3.4766,-1.3965,-0.3145,other
2861,-0.2261,-0.1929,1.0172,-3.5098,-1.4492,-0.3223,other
2884,-0.2262,-0.1952,1.0195,-3.5312,-1.4883,-0.3262,other
2907,-0.2284,-0.1943,1.0143,-3.5566,-1.543,-0.332,other
2930,-0.2277,-0.1974,1.0168,-3.5723,-1.5898,-0.3379,other
2953,-0.2247,-0.1949,1.0176,-3.5781,-1.6133,-0.3418,other
2976,-0.2271,-0.1959,1.0177,-3.5859,-1.6387,-0.3457,other
