timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1037,-0.1749,-0.1803,1.0275,-4.1602,-2.1777,-0.3926,other
1060,-0.1661,-0.181,1.0258,-4.1641,-2.2617,-0.3906,other
1083,-0.1697,-0.1819,1.0277,-4.1641,-2.334,-0.3848,other
1106,-0.1707,-0.1821,1.0282,-4.1582,-2.4434,-0.375,other
1129,-0.1708,-0.1804,1.0282,-4.1504,-2.4863,-0.3672,other
1152,-0.1718,-0.181,1.0265,-4.1328,-2.4609,-0.3594,other
1175,-0.173,-0.1808,1.0269,-4.1152,-2.3066,-0.3496,other
1198,-0.1692,-0.1812,1.0273,-4.1035,-2.1367,-0.3437,other
1221,-0.1709,-0.1805,1.0275,-4.0918,-1.8242,-0.3359,other
1244,-0.1704,-0.1816,1.0281,-4.0879,-1.6016,-0.3301,other
1267,-0.1718,-0.1804,1.0284,-4.0957,-1.3008,-0.3203,other
1290,-0.1689,-0.1809,1.0289,-4.1055,-1.1465,-0.3105,other
1313,-0.1667,-0.1804,1.0284,-4.125,-1.0234,-0.3047,other
1336,-0.1685,-0.181,1.027,-4.1465,-1.0469,-0.3008,other
1359,-0.1724,-0.1808,1.0283,-4.1602,-1.125,-0.3027,other
1382,-0.1703,-0.1735,1.0231,-4.1758,-1.2852,-0.3105,other
1405,-0.1799,-0.1827,1.0291,-4.1836,-1.3809,-0.3184,other
1428,-0.1552,-0.1858,1.0271,-4.1855,-1.4297,-0.3437,other
1451,-0.1639,-0.1823,1.0287,-4.1738,-1.3496,-0.3887,other
1474,-0.1735,-0.1815,1.0282,-4.1582,-1.248,-0.4316,other
1497,-0.1689,-0.1803,1.0271,-4.1309,-1.0449,-0.498,other
1520,-0.1676,-0.1808,1.0267,-4.1113,-0.8965,-0.5371,other
1543,-0.171,-0.1813,1.0272,-4.0918,-0.6914,-0.5723,other
1566,-0.1703,-0.1805,1.0256,-4.0859,-0.5293,-0.5703,other
1589,-0.1708,-0.1815,1.0289,-4.0898,-0.4434,-0.5527,other
1612,-0.1747,-0.1816,1.0287,-4.1074,-0.3242,-0.5039,other
1635,-0.1777,-0.1814,1.0272,-4.123,-0.2324,-0.4609,other
1658,-0.1698,-0.1812,1.0276,-4.1465,-0.0762,-0.3965,other
1681,-0.1722,-0.1802,1.0269,-4.1602,0.0234,-0.3398,other
1704,-0.1696,-0.1802,1.0266,-4.1719,0.0,-0.3125,other
1727,-0.1699,-0.1798,1.0287,-4.1738,-0.2148,-0.2891,other
1750,-0.1718,-0.1812,1.0297,-4.1719,-0.4629,-0.2832,other
1773,-0.1667,-0.1826,1.0261,-4.168,-0.918,-0.291,other
1796,-0.1754,-0.1825,1.0273,-4.168,-1.2246,-0.3027,other
1819,-0.1693,-0.181,1.0283,-4.1719,-1.6035,-0.3242,other
1842,-0.1694,-0.1798,1.0272,-4.1836,-1.8145,-0.3398,other
1865,-0.1681,-0.1805,1.0275,-4.1914,-1.8555,-0.3457,other
1888,-0.175,-0.1802,1.027,-4.2051,-1.7656,-0.3477,other
1911,-0.1698,-0.1809,1.0291,-4.2109,-1.6094,-0.3437,other
1934,-0.1738,-0.1809,1.0266,-4.2168,-1.2578,-0.3359,other
1957,-0.1757,-0.1818,1.028,-4.2148,-0.8086,-0.3262,other
1980,-0.1747,-0.1809,1.026,-4.2109,-0.4844,-0.3203,other
2003,-0.1736,-0.1809,1.0267,-4.2031,-0.0137,-0.3125,other
2026,-0.1761,-0.1799,1.0278,-4.1992,0.2598,-0.3086,other
2049,-0.1772,-0.1818,1.0283,-4.1934,0.5801,-0.3066,other
2072,-0.1749,-0.182,1.0259,-4.1914,0.7812,-0.3086,other
2095,-0.1776,-0.1818,1.0265,-4.1914,0.8398,-0.3125,other
2118,-0.1759,-0.1815,1.0267,-4.1934,0.8145,-0.3184,other
2141,-0.1753,-0.1805,1.0281,-4.1953,0.7246,-0.3242,other
2164,-0.178,-0.1808,1.0276,-4.1953,0.502,-0.3281,other
2187,-0.1763,-0.1807,1.0269,-4.1914,0.3145,-0.332,other
2210,-0.1783,-0.1808,1.0276,-4.1836,0.0234,-0.334,other
2233,-0.1815,-0.1816,1.0273,-4.1738,-0.2324,-0.3359,other
2256,-0.1753,-0.1813,1.0266,-4.1641,-0.3672,-0.3359,other
2279,-0.1775,-0.1802,1.028,-4.1484,-0.5254,-0.3359,other
2302,-0.1764,-0.1808,1.0265,-4.1387,-0.6113,-0.3359,other
2325,-0.1809,-0.1814,1.0286,-4.125,-0.7187,-0.3379,other
2348,-0.1764,-0.1799,1.0281,-4.1152,-0.7969,-0.3379,other
2371,-0.1761,-0.1809,1.0287,-4.1133,-0.8418,-0.3359,other
2394,-0.1807,-0.1821,1.0294,-4.1152,-0.9082,-0.3359,other
2417,-0.1737,-0.1821,1.0262,-4.1211,-0.9492,-0.3359,other
2440,-0.1763,-0.1814,1.0271,-4.1348,-1.0059,-0.3379,other
