timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
4283,-0.0267,-0.2173,1.0408,-3.5996,-1.4531,-0.2988,other
4306,-0.0275,-0.2166,1.038,-3.5918,-1.3867,-0.3008,other
4329,-0.0276,-0.2177,1.0387,-3.584,-1.334,-0.3047,other
4352,-0.0292,-0.2178,1.04,-3.5703,-1.25,-0.3105,other
4375,-0.0266,-0.2163,1.0372,-3.5625,-1.1914,-0.3145,other
4398,-0.0286,-0.2167,1.0398,-3.5566,-1.1074,-0.3223,other
4421,-0.0283,-0.217,1.0391,-3.5566,-1.0605,-0.3281,other
4444,-0.028,-0.2174,1.0399,-3.5586,-1.0098,-0.332,other
4467,-0.0277,-0.2187,1.0411,-3.5625,-0.9883,-0.334,other
4490,-0.0276,-0.2192,1.0387,-3.5664,-0.9941,-0.3359,other
4513,-0.0302,-0.2178,1.0393,-3.5703,-1.0273,-0.3359,other
4536,-0.0278,-0.2189,1.0389,-3.5723,-1.0527,-0.3359,other
4559,-0.0298,-0.2172,1.0406,-3.5742,-1.0879,-0.334,other
4582,-0.028,-0.2169,1.0402,-3.5723,-1.1152,-0.332,other
4605,-0.0284,-0.2159,1.0391,-3.5684,-1.1309,-0.3301,other
4628,-0.0287,-0.2168,1.0388,-3.5566,-1.1543,-0.3281,other
4651,-0.0267,-0.2172,1.0394,-3.5488,-1.1738,-0.3262,other
4674,-0.0275,-0.2173,1.0396,-3.5332,-1.2129,-0.3242,other
4697,-0.0291,-0.2181,1.0388,-3.5195,-1.2637,-0.3203,other
4720,-0.0282,-0.2169,1.0397,-3.5098,-1.2949,-0.3184,other
4743,-0.0287,-0.217,1.0388,-3.5,-1.332,-0.3184,other
4766,-0.0261,-0.2179,1.0393,-3.4961,-1.3457,-0.3184,other
4789,-0.0271,-0.2177,1.0391,-3.4883,-1.3574,-0.3203,other
4812,-0.0277,-0.2179,1.0389,-3.4824,-1.3555,-0.3203,other
4835,-0.0275,-0.218,1.0396,-3.4766,-1.3418,-0.3203,other
4858,-0.0278,-0.2174,1.0388,-3.4746,-1.3105,-0.3203,other
4881,-0.0269,-0.2172,1.0381,-3.4746,-1.2832,-0.3203,other
4904,-0.0293,-0.2174,1.0411,-3.4766,-1.2344,-0.3184,other
4927,-0.0306,-0.2169,1.0386,-3.4785,-1.1973,-0.3164,other
4950,-0.0283,-0.2169,1.0403,-3.4805,-1.1406,-0.3164,other
4973,-0.0273,-0.2178,1.0402,-3.4844,-1.0918,-0.3145,other
4996,-0.0289,-0.2172,1.0402,-3.4883,-1.0723,-0.3125,other
5019,-0.0291,-0.2158,1.0403,-3.498,-1.0664,-0.3125,other
5042,-0.0277,-0.2159,1.0404,-3.5059,-1.0801,-0.3125,other
5065,-0.0278,-0.2164,1.0393,-3.5195,-1.1211,-0.3145,other
5088,-0.0283,-0.2158,1.0421,-3.5332,-1.1797,-0.3184,other
5111,-0.0281,-0.2177,1.0398,-3.541,-1.2246,-0.3223,other
5134,-0.0269,-0.2177,1.0399,-3.5469,-1.2871,-0.3281,other
5157,-0.0287,-0.2174,1.0404,-3.5469,-1.3184,-0.332,other
5180,-0.0293,-0.2167,1.0408,-3.5469,-1.3438,-0.3379,other
5203,-0.0269,-0.2174,1.0392,-3.5449,-1.3418,-0.3398,other
5226,-0.027,-0.2168,1.0385,-3.543,-1.3262,-0.3418,other
5249,-0.0283,-0.2163,1.0397,-3.543,-1.2891,-0.3418,other
5272,-0.0277,-0.2178,1.038,-3.5449,-1.2559,-0.3418,other
5295,-0.027,-0.2173,1.0399,-3.5469,-1.2031,-0.3398,other
5318,-0.0289,-0.2161,1.0404,-3.5469,-1.166,-0.3398,other
5341,-0.0272,-0.2173,1.038,-3.5469,-1.1133,-0.3359,other
5364,-0.0293,-0.2175,1.041,-3.5449,-1.0703,-0.332,other
5387,-0.028,-0.2181,1.0421,-3.541,-1.0527,-0.3301,other
5410,-0.0286,-0.2172,1.0389,-3.5352,-1.043,-0.3281,other
5433,-0.0289,-0.2168,1.0411,-3.5312,-1.0488,-0.3262,other
5456,-0.0297,-0.2163,1.0403,-3.5234,-1.0703,-0.3242,other
5479,-0.0271,-0.2152,1.0399,-3.5156,-1.1035,-0.3223,other
5502,-0.0281,-0.2159,1.0406,-3.5098,-1.1289,-0.3203,other
5525,-0.0292,-0.2173,1.0393,-3.502,-1.1602,-0.3184,other
5548,-0.0295,-0.2166,1.0393,-3.5,-1.1738,-0.3164,other
5571,-0.0283,-0.2169,1.0405,-3.498,-1.1777,-0.3145,other
5594,-0.0287,-0.2169,1.0387,-3.4961,-1.1777,-0.3105,other
5617,-0.0286,-0.2163,1.0389,-3.4941,-1.1797,-0.3086,other
5640,-0.0287,-0.2162,1.038,-3.4883,-1.1816,-0.3066,other
5663,-0.0291,-0.2166,1.0385,-3.4844,-1.1816,-0.3047,other
5686,-0.0292,-0.2169,1.0402,-3.4805,-1.1719,-0.3066,other
5709,-0.0311,-0.2183,1.0403,-3.4805,-1.1621,-0.3105,other
5732,-0.0297,-0.2184,1.0402,-3.4883,-1.1465,-0.3125,other
5755,-0.0298,-0.2189,1.04,-3.502,-1.1387,-0.3164,other
5778,-0.0281,-0.2169,1.0382,-3.5117,-1.1406,-0.3164,other
5801,-0.0291,-0.214,1.0403,-3.5254,-1.1543,-0.3184,other
5824,-0.0275,-0.2144,1.038,-3.5293,-1.1641,-0.3184,other
5847,-0.0275,-0.2159,1.0388,-3.5293,-1.1738,-0.3223,other
5870,-0.0299,-0.2178,1.0404,-3.5234,-1.1699,-0.3281,other
5893,-0.0303,-0.2195,1.0402,-3.5215,-1.1602,-0.332,other
5916,-0.0278,-0.2183,1.0403,-3.5195,-1.1445,-0.3359,other
5939,-0.0277,-0.2163,1.0385,-3.5215,-1.1348,-0.3359,other
5962,-0.0304,-0.2152,1.0387,-3.5273,-1.127,-0.3301,other
5985,-0.0286,-0.2156,1.0372,-3.5312,-1.125,-0.3203,other
6008,-0.0289,-0.2166,1.0397,-3.5312,-1.123,-0.3125,other
6031,-0.0312,-0.2189,1.0402,-3.5332,-1.1191,-0.2988,other
6054,-0.0294,-0.2183,1.0414,-3.5371,-1.1172,-0.291,other
6077,-0.0293,-0.2185,1.0394,-3.5488,-1.1172,-0.2832,other
6100,-0.0289,-0.2167,1.0402,-3.5605,-1.127,-0.2812,other
6123,-0.0294,-0.2162,1.0371,-3.582,-1.1367,-0.2832,other
6146,-0.0276,-0.2169,1.0393,-3.5996,-1.1484,-0.2891,other
6169,-0.0287,-0.2168,1.0383,-3.6094,-1.1523,-0.293,other
6192,-0.0295,-0.2174,1.0386,-3.6133,-1.1582,-0.2988,other
6215,-0.0291,-0.218,1.0369,-3.6113,-1.1641,-0.3008,other
6238,-0.0304,-0.2168,1.0387,-3.5996,-1.1777,-0.3066,other
6261,-0.0288,-0.2174,1.0381,-3.584,-1.1953,-0.3145,other
6284,-0.0306,-0.2158,1.0383,-3.5703,-1.2031,-0.3223,other
6307,-0.0283,-0.217,1.0387,-3.5488,-1.2109,-0.332,other
6330,-0.0286,-0.2167,1.0403,-3.5352,-1.2148,-0.3379,other
6353,-0.0297,-0.2185,1.0405,-3.5215,-1.2207,-0.3457,other
6376,-0.0304,-0.2183,1.0399,-3.5156,-1.2305,-0.3516,other
6399,-0.0303,-0.2169,1.0393,-3.5195,-1.2363,-0.3516,other
6422,-0.0293,-0.2158,1.0372,-3.5332,-1.2402,-0.3516,other
6445,-0.0287,-0.2169,1.0376,-3.5449,-1.2344,-0.3477,other
6468,-0.03,-0.2172,1.0398,-3.5664,-1.2148,-0.3398,other
6491,-0.0287,-0.2158,1.0405,-3.584,-1.1895,-0.3281,other
6514,-0.0292,-0.2187,1.0387,-3.5977,-1.1738,-0.3203,other
6537,-0.03,-0.2173,1.0391,-3.6133,-1.1543,-0.3086,other
