timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1159,-0.1052,-0.2213,0.9966,-7.25,-7.2031,-7.1758,other
1182,-0.0432,-0.1617,1.0568,-14.0879,-13.9824,-13.832,other
1205,-0.0605,-0.1736,1.0396,-18.4258,-18.2734,-17.9805,other
1228,-0.0573,-0.1685,1.0405,-23.1543,-22.8867,-22.3184,other
1251,-0.0551,-0.1732,1.0424,-24.8457,-24.3691,-23.5156,other
1274,-0.0602,-0.1759,1.0435,-24.2246,-23.5527,-22.5254,other
1297,-0.059,-0.1755,1.0436,-21.1367,-20.1074,-18.877,other
1320,-0.0565,-0.1719,1.042,-18.0938,-16.7969,-15.4805,other
1343,-0.056,-0.1697,1.04,-12.9121,-11.207,-9.8398,other
1366,-0.0604,-0.17,1.0426,-9.5137,-7.541,-6.1992,other
1389,-0.0593,-0.1726,1.0433,-5.1152,-2.7617,-1.5469,other
1412,-0.0576,-0.1749,1.0448,-1.9961,0.6914,1.7031,other
1435,-0.0598,-0.1744,1.0443,-0.7148,2.1484,3.0137,other
1458,-0.0591,-0.1716,1.0436,0.0957,3.1406,3.8086,other
1481,-0.0571,-0.1715,1.0416,0.0254,3.1328,3.6973,other
1504,-0.0582,-0.1724,1.0438,-0.7031,2.4199,2.8887,other
1527,-0.0591,-0.1735,1.0424,-1.8164,1.2559,1.6914,other
1550,-0.0607,-0.174,1.0406,-2.5957,0.418,0.8652,other
1573,-0.0583,-0.174,1.0432,-3.6211,-0.7168,-0.2109,other
1596,-0.0598,-0.1719,1.0405,-4.1406,-1.3125,-0.75,other
1619,-0.0625,-0.1703,1.0422,-4.627,-1.9043,-1.2422,other
1642,-0.0573,-0.1718,1.0416,-4.7812,-2.1426,-1.3848,other
1665,-0.0579,-0.1727,1.0425,-4.7363,-2.1504,-1.3242,other
1688,-0.0598,-0.1722,1.0426,-4.5273,-2.0371,-1.084,other
1711,-0.0574,-0.1744,1.0442,-4.3379,-1.9336,-0.873,other
1734,-0.0422,-0.1741,1.0416,-4.0488,-1.8184,-0.5508,other
1757,-0.072,-0.1718,1.0443,-3.877,-1.7891,-0.3613,other
1780,-0.0515,-0.1732,1.042,-3.6836,-1.791,-0.1484,other
1803,-0.0563,-0.1736,1.0443,-3.5703,-1.8027,-0.0312,other
1826,-0.0565,-0.1729,1.0419,-3.541,-1.8086,-0.0059,other
1849,-0.0587,-0.1715,1.0435,-3.5469,-1.8105,-0.0293,other
1872,-0.0505,-0.1733,1.0425,-3.5762,-1.8086,-0.0742,other
1895,-0.0535,-0.1726,1.0439,-3.6406,-1.8105,-0.1641,other
1918,-0.0588,-0.1725,1.0436,-3.709,-1.8203,-0.2559,other
1941,-0.0519,-0.1741,1.0414,-3.75,-1.8223,-0.3086,other
1964,-0.0546,-0.1732,1.0425,-3.7988,-1.8125,-0.3613,other
1987,-0.0546,-0.1708,1.0399,-3.8203,-1.7852,-0.3789,other
2010,-0.0562,-0.1703,1.0413,-3.8359,-1.6953,-0.3828,other
2033,-0.0549,-0.1732,1.0419,-3.834,-1.5332,-0.3652,other
2056,-0.0562,-0.1741,1.0416,-3.8262,-1.3926,-0.3457,other
2079,-0.0587,-0.1736,1.0427,-3.8105,-1.166,-0.3125,other
2102,-0.0511,-0.1724,1.0422,-3.8008,-1.0313,-0.291,other
2125,-0.0558,-0.1715,1.0421,-3.7852,-0.8926,-0.2637,other
2148,-0.0559,-0.1698,1.041,-3.7734,-0.8555,-0.2461,other
2171,-0.0509,-0.1721,1.041,-3.7578,-0.877,-0.2402,other
2194,-0.0568,-0.1738,1.0426,-3.7422,-0.9688,-0.2402,other
2217,-0.058,-0.1742,1.0413,-3.7363,-1.043,-0.2441,other
2240,-0.0588,-0.1726,1.0419,-3.7344,-1.125,-0.25,other
2263,-0.0527,-0.1716,1.0399,-3.7344,-1.1445,-0.2539,other
2286,-0.0602,-0.1704,1.0413,-3.7383,-1.125,-0.2578,other
2309,-0.0549,-0.1715,1.0424,-3.7422,-1.0586,-0.2617,other
2332,-0.0588,-0.1743,1.0427,-3.7441,-1.002,-0.2637,other
2355,-0.0559,-0.1744,1.0389,-3.75,-0.9277,-0.2695,other
2378,-0.0594,-0.1738,1.0419,-3.7559,-0.9004,-0.2734,other
2401,-0.0524,-0.1719,1.041,-3.7656,-0.9082,-0.2812,other
2424,-0.0583,-0.1721,1.0421,-3.7754,-0.9902,-0.2871,other
2447,-0.0554,-0.173,1.0405,-3.7812,-1.082,-0.291,other
2470,-0.057,-0.1731,1.0397,-3.7852,-1.2559,-0.2949,other
2493,-0.0553,-0.1716,1.0414,-3.7852,-1.3828,-0.2988,other
2516,-0.054,-0.1688,1.0397,-3.7793,-1.5781,-0.3047,other
2539,-0.0505,-0.172,1.0413,-3.7695,-1.7656,-0.3105,other
2562,-0.0527,-0.1733,1.0416,-3.7539,-1.875,-0.3145,other
2585,-0.056,-0.1748,1.0419,-3.7344,-1.998,-0.3184,other
2608,-0.0535,-0.1748,1.0421,-3.7227,-2.0352,-0.3184,other
2631,-0.0541,-0.1702,1.0394,-3.7129,-2.0098,-0.3145,other
2654,-0.0549,-0.1688,1.0403,-3.7109,-1.9395,-0.3086,other
2677,-0.0533,-0.1696,1.0411,-3.7148,-1.7715,-0.2949,other
2700,-0.0551,-0.1724,1.0424,-3.7207,-1.5488,-0.2754,other
2723,-0.0562,-0.1755,1.0453,-3.7305,-1.3926,-0.2637,other
2746,-0.0547,-0.1742,1.0425,-3.7461,-1.1836,-0.248,other
2769,-0.0564,-0.1726,1.0426,-3.7559,-1.0801,-0.2422,other
2792,-0.0519,-0.1688,1.04,-3.7695,-1.0117,-0.2441,other
2815,-0.0509,-0.1693,1.0408,-3.7754,-1.0625,-0.2559,other
2838,-0.0536,-0.1724,1.0428,-3.7793,-1.1641,-0.2695,other
2861,-0.0483,-0.1737,1.0405,-3.7832,-1.3984,-0.293,other
2884,-0.0522,-0.1749,1.0422,-3.7891,-1.5879,-0.3086,other
2907,-0.0483,-0.1747,1.043,-3.7988,-1.8906,-0.3262,other
2930,-0.0552,-0.1765,1.0438,-3.8105,-2.1543,-0.3359,other
2953,-0.0497,-0.1715,1.0419,-3.8164,-2.2793,-0.3398,other
2976,-0.0475,-0.17,1.04,-3.8184,-2.3672,-0.3359,other
2999,-0.0504,-0.1689,1.0404,-3.8125,-2.3633,-0.3281,other
3022,-0.0487,-0.1714,1.0414,-3.7969,-2.2793,-0.3164,other
3045,-0.0499,-0.1726,1.0415,-3.7832,-2.1855,-0.3086,other
3068,-0.0486,-0.1733,1.0431,-3.7617,-2.0273,-0.2969,other
3091,-0.0487,-0.1729,1.0431,-3.7461,-1.8789,-0.2871,other
3114,-0.0472,-0.1749,1.0411,-3.7383,-1.793,-0.2812,other
3137,-0.0502,-0.1711,1.0405,-3.7324,-1.6855,-0.2734,other
3160,-0.0509,-0.1698,1.0422,-3.7324,-1.625,-0.2676,other
3183,-0.0455,-0.1702,1.0422,-3.7305,-1.5449,-0.2598,other
3206,-0.0481,-0.1722,1.0413,-3.7324,-1.4785,-0.252,other
3229,-0.0492,-0.175,1.0417,-3.7324,-1.4414,-0.2441,other
3252,-0.047,-0.1764,1.0417,-3.7344,-1.4004,-0.2363,other
3275,-0.0477,-0.1716,1.0414,-3.7363,-1.3848,-0.2305,other
3298,-0.0521,-0.1686,1.0397,-3.7383,-1.375,-0.2324,other
3321,-0.0468,-0.1698,1.0396,-3.7383,-1.3633,-0.2422,other
3344,-0.0468,-0.1726,1.0399,-3.7383,-1.3457,-0.25,other
3367,-0.0514,-0.1729,1.0419,-3.7383,-1.3008,-0.2617,other
3390,-0.051,-0.1731,1.0399,-3.7402,-1.252,-0.2676,other
3413,-0.0485,-0.171,1.0404,-3.7402,-1.1465,-0.2734,other
3436,-0.0531,-0.1692,1.042,-3.7402,-1.0586,-0.2754,other
3459,-0.0477,-0.171,1.042,-3.7344,-0.9238,-0.2715,other
3482,-0.0479,-0.1731,1.0409,-3.7266,-0.8164,-0.2617,other
3505,-0.0515,-0.1741,1.0427,-3.7227,-0.7734,-0.2539,other
3528,-0.0494,-0.1733,1.0419,-3.7207,-0.7559,-0.2422,other
3551,-0.0479,-0.1687,1.0415,-3.7207,-0.7695,-0.2363,other
3574,-0.0485,-0.1694,1.0406,-3.7207,-0.8086,-0.2344,other
3597,-0.0509,-0.1716,1.0441,-3.7227,-0.8496,-0.2383,other
3620,-0.0504,-0.1748,1.0417,-3.7227,-0.8672,-0.2441,other
3643,-0.0505,-0.1738,1.0425,-3.7285,-0.8613,-0.2559,other
3666,-0.051,-0.1726,1.0415,-3.7344,-0.834,-0.2637,other
3689,-0.0533,-0.1721,1.0431,-3.7441,-0.752,-0.2734,other
3712,-0.0502,-0.1714,1.0405,-3.752,-0.6309,-0.2773,other
3735,-0.0519,-0.1703,1.0415,-3.7559,-0.5469,-0.2773,other
3758,-0.0538,-0.1718,1.0402,-3.7559,-0.4492,-0.2734,other
3781,-0.053,-0.173,1.0417,-3.7539,-0.416,-0.2695,other
3804,-0.053,-0.1746,1.0415,-3.75,-0.4512,-0.2637,other
3827,-0.0542,-0.1736,1.0428,-3.748,-0.5391,-0.2617,other
3850,-0.0491,-0.1707,1.04,-3.7461,-0.7598,-0.2617,other
3873,-0.0477,-0.1709,1.0394,-3.75,-1.0488,-0.2656,other
3896,-0.0558,-0.1685,1.0399,-3.7559,-1.2559,-0.2695,other
3919,-0.05,-0.1742,1.0474,-3.7617,-1.5313,-0.2754,other
3942,-0.0472,-0.1749,1.0366,-3.7656,-1.668,-0.2773,other
3965,-0.0509,-0.1743,1.0416,-3.7715,-1.7891,-0.2773,other
3988,-0.0553,-0.1685,1.04,-3.7754,-1.8223,-0.2754,other
4011,-0.0399,-0.1682,1.0398,-3.7734,-1.8086,-0.2734,other
4034,-0.052,-0.1688,1.0399,-3.7676,-1.7539,-0.2715,other
4057,-0.0505,-0.1741,1.0422,-3.7617,-1.7031,-0.2715,other
4080,-0.0508,-0.1755,1.0394,-3.7559,-1.5996,-0.2715,other
4103,-0.0531,-0.1761,1.0435,-3.7578,-1.4648,-0.2715,other
4126,-0.0516,-0.1722,1.0404,-3.7617,-1.3613,-0.2715,other
4149,-0.0485,-0.1697,1.0406,-3.7676,-1.2012,-0.2734,other
4172,-0.0502,-0.1703,1.0419,-3.7695,-1.1016,-0.2754,other
4195,-0.0524,-0.1718,1.0414,-3.7715,-0.9863,-0.2793,other
4218,-0.0546,-0.1759,1.0437,-3.7715,-0.9297,-0.2793,other
4241,-0.0452,-0.1742,1.0427,-3.7695,-0.9316,-0.2773,other
4264,-0.0529,-0.1705,1.0417,-3.7676,-0.9941,-0.2734,other
4287,-0.0504,-0.1656,1.0388,-3.7637,-1.0664,-0.2695,other
4310,-0.0461,-0.1691,1.0422,-3.7539,-1.1953,-0.2695,other
4333,-0.0483,-0.173,1.0402,-3.748,-1.2832,-0.2715,other
4356,-0.0548,-0.1764,1.0443,-3.7422,-1.3984,-0.2773,other
4379,-0.0491,-0.1774,1.042,-3.7441,-1.4785,-0.2812,other
4402,-0.0488,-0.1727,1.0404,-3.748,-1.5098,-0.2832,other
4425,-0.0468,-0.1676,1.0386,-3.7578,-1.5293,-0.2812,other
4448,-0.048,-0.1687,1.0404,-3.7617,-1.5273,-0.2773,other
4471,-0.0464,-0.1727,1.0413,-3.7637,-1.4941,-0.2695,other
4494,-0.0574,-0.175,1.0391,-3.7637,-1.4297,-0.2578,other
4517,-0.0554,-0.176,1.0444,-3.7637,-1.3672,-0.252,other
4540,-0.042,-0.1732,1.0406,-3.7637,-1.252,-0.2402,other
4563,-0.0507,-0.1676,1.0408,-3.7656,-1.1758,-0.2363,other
4586,-0.0535,-0.1683,1.0422,-3.7676,-1.0801,-0.2324,other
4609,-0.0474,-0.1748,1.0417,-3.7695,-1.0039,-0.2363,other
4632,-0.0529,-0.178,1.0436,-3.7715,-0.9648,-0.2422,other
4655,-0.0525,-0.1761,1.042,-3.7754,-0.9316,-0.25,other
4678,-0.0485,-0.1725,1.0414,-3.7812,-0.9258,-0.2578,other
4701,-0.0479,-0.1671,1.0383,-3.7871,-0.9258,-0.2656,other
4724,-0.0522,-0.1676,1.04,-3.7871,-0.9336,-0.2715,other
4747,-0.0521,-0.1724,1.0435,-3.7852,-0.9453,-0.2754,other
4770,-0.0508,-0.176,1.0433,-3.7793,-0.957,-0.2793,other
4793,-0.0526,-0.1741,1.042,-3.7773,-0.9746,-0.2812,other
4816,-0.0492,-0.1725,1.0413,-3.7754,-1.0293,-0.2832,other
4839,-0.049,-0.1716,1.0426,-3.7754,-1.0898,-0.2852,other
4862,-0.0483,-0.1715,1.0414,-3.7793,-1.2051,-0.2871,other
4885,-0.052,-0.1729,1.0417,-3.7812,-1.334,-0.2871,other
4908,-0.0494,-0.1747,1.0421,-3.7832,-1.4121,-0.2871,other
4931,-0.0503,-0.1741,1.0415,-3.7871,-1.502,-0.2871,other
4954,-0.0499,-0.1725,1.0387,-3.7891,-1.5352,-0.2871,other
4977,-0.0498,-0.1699,1.04,-3.7891,-1.541,-0.2871,other
5000,-0.0483,-0.1697,1.0406,-3.7852,-1.4902,-0.2852,other
5023,-0.0522,-0.1715,1.0406,-3.7773,-1.4336,-0.2832,other
5046,-0.0504,-0.174,1.041,-3.7637,-1.3203,-0.2793,other
5069,-0.0519,-0.1757,1.0405,-3.7539,-1.2344,-0.2793,other
5092,-0.0488,-0.1735,1.0388,-3.7422,-1.1074,-0.2773,other
5115,-0.0522,-0.1719,1.0437,-3.7363,-1.0391,-0.2754,other
5138,-0.0481,-0.1707,1.0403,-3.7305,-0.9668,-0.2754,other
5161,-0.0538,-0.1709,1.0421,-3.7227,-0.9238,-0.2734,other
5184,-0.0541,-0.1732,1.0405,-3.7168,-0.9063,-0.2715,other
5207,-0.0421,-0.1744,1.0405,-3.709,-0.9004,-0.2715,other
5230,-0.0554,-0.172,1.0396,-3.7051,-0.9121,-0.2715,other
5253,-0.0531,-0.1696,1.0408,-3.7012,-0.9512,-0.2715,other
5276,-0.0464,-0.1727,1.0413,-3.7031,-1.0078,-0.2734,other
5299,-0.0509,-0.173,1.0397,-3.707,-1.0586,-0.2734,other
5322,-0.054,-0.174,1.0422,-3.7148,-1.1465,-0.2715,other
5345,-0.0469,-0.1731,1.0406,-3.7246,-1.207,-0.2676,other
5368,-0.052,-0.1719,1.0391,-3.7402,-1.291,-0.2617,other
5391,-0.0507,-0.1719,1.0406,-3.7598,-1.3438,-0.252,other
5414,-0.0498,-0.173,1.0415,-3.7695,-1.3555,-0.2461,other
5437,-0.0509,-0.1735,1.0426,-3.7852,-1.332,-0.2363,other
5460,-0.052,-0.1736,1.0419,-3.7891,-1.2949,-0.2305,other
5483,-0.0498,-0.1748,1.042,-3.7891,-1.2129,-0.2266,other
5506,-0.0505,-0.1735,1.0375,-3.7832,-1.1465,-0.2266,other
