timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
123830,-0.4575,-0.1959,0.9302,-3.3691,-2.1797,-0.3027
123853,-0.4463,-0.194,0.931,-3.3848,-2.1523,-0.3086
123876,-0.4491,-0.1921,0.9301,-3.3965,-2.1113,-0.3184
123899,-0.4622,-0.1948,0.928,-3.3984,-2.0937,-0.3223
123922,-0.4706,-0.1945,0.9285,-3.3867,-2.0879,-0.3203
123945,-0.4663,-0.1918,0.928,-3.373,-2.0996,-0.3145
123968,-0.4502,-0.1918,0.9269,-3.3398,-2.1367,-0.2988
123991,-0.4414,-0.1937,0.9318,-3.2988,-2.2031,-0.2793
124014,-0.4388,-0.1925,0.931,-3.2695,-2.2559,-0.2617
124037,-0.4506,-0.1914,0.9307,-3.2324,-2.3359,-0.2383
124060,-0.4607,-0.1947,0.9283,-3.2148,-2.3809,-0.2227
124083,-0.4612,-0.1934,0.9271,-3.207,-2.4141,-0.209
124106,-0.4598,-0.1914,0.9266,-3.2227,-2.3965,-0.2031
124129,-0.4512,-0.1936,0.9309,-3.2422,-2.3613,-0.207
124152,-0.448,-0.1934,0.9303,-3.2793,-2.2832,-0.2207
124175,-0.4512,-0.1914,0.9308,-3.3086,-2.2227,-0.2324
124198,-0.4602,-0.1932,0.9291,-3.3535,-2.1328,-0.2539
124221,-0.4622,-0.1942,0.9277,-3.3809,-2.0508,-0.2715
124244,-0.4581,-0.1929,0.9301,-3.4141,-2.0078,-0.2812
124267,-0.4506,-0.192,0.9304,-3.4375,-1.959,-0.291
124290,-0.4482,-0.1941,0.9305,-3.4473,-1.9414,-0.2949
124313,-0.4528,-0.1932,0.9314,-3.4531,-1.9355,-0.3027
124336,-0.4583,-0.1917,0.9274,-3.4512,-1.9434,-0.3066
124359,-0.4641,-0.1937,0.9292,-3.4414,-1.9648,-0.3145
124382,-0.4578,-0.1931,0.9299,-3.4297,-1.9863,-0.3242
124405,-0.451,-0.1927,0.9308,-3.4238,-1.998,-0.332
124428,-0.4482,-0.1931,0.9308,-3.4141,-2.0117,-0.3418
124451,-0.4534,-0.1931,0.9297,-3.4102,-2.0195,-0.3477
124474,-0.4591,-0.192,0.9296,-3.4102,-2.0273,-0.3535
124497,-0.4598,-0.192,0.9291,-3.4121,-2.0293,-0.3516
124520,-0.4573,-0.1932,0.9277,-3.4141,-2.0254,-0.3496
124543,-0.4532,-0.193,0.9303,-3.416,-2.0156,-0.3457
124566,-0.4515,-0.1918,0.9316,-3.416,-2.0078,-0.3418
124589,-0.4526,-0.1931,0.9298,-3.416,-1.998,-0.3359
124612,-0.4568,-0.1935,0.9301,-3.416,-1.9961,-0.3301
124635,-0.4601,-0.1924,0.9294,-3.4141,-1.9961,-0.3281
124658,-0.4562,-0.1925,0.929,-3.4141,-1.9961,-0.3242
124681,-0.4547,-0.1934,0.9312,-3.4141,-1.9961,-0.3242
124704,-0.4495,-0.1924,0.9291,-3.4141,-1.9961,-0.3223
124727,-0.4543,-0.1931,0.9299,-3.4121,-1.9961,-0.3223
124750,-0.4569,-0.1932,0.9282,-3.4082,-1.998,-0.3203
124773,-0.459,-0.193,0.9292,-3.4043,-2.002,-0.3184
124796,-0.4572,-0.192,0.9288,-3.4004,-2.002,-0.3164
124819,-0.4518,-0.1923,0.9294,-3.3984,-2.0039,-0.3125
124842,-0.4524,-0.1938,0.9313,-3.3965,-2.0039,-0.3105
124865,-0.4541,-0.1924,0.9287,-3.4004,-2.002,-0.3105
124888,-0.4573,-0.1935,0.9288,-3.4062,-2.0,-0.3125
124911,-0.4574,-0.1931,0.9287,-3.4121,-1.998,-0.3145
124934,-0.457,-0.1927,0.9287,-3.4199,-1.9922,-0.3184
124957,-0.4532,-0.193,0.9296,-3.4238,-1.9883,-0.3223
124980,-0.4508,-0.1927,0.9303,-3.4277,-1.9844,-0.3262
