timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
6848,0.0554,-0.2439,1.0316,-2.1699,1.6738,0.4453
6871,0.0526,-0.2466,1.0298,-2.2148,1.6016,0.4453
6894,0.0527,-0.2473,1.0311,-2.3398,1.3926,0.4258
6917,0.0453,-0.2449,1.0327,-2.4922,1.1465,0.416
6940,0.0488,-0.2456,1.0314,-2.5859,1.0039,0.4336
6963,0.0435,-0.2448,1.0316,-2.6855,0.8516,0.502
6986,0.0483,-0.2432,1.0315,-2.7227,0.7852,0.5684
7009,0.0442,-0.246,1.0311,-2.7422,0.7129,0.6641
7032,0.0452,-0.2445,1.0327,-2.7461,0.6348,0.7227
7055,0.0479,-0.2432,1.0306,-2.7539,0.5742,0.7305
7078,0.0383,-0.241,1.0337,-2.7734,0.4766,0.6914
7101,0.0415,-0.2421,1.0305,-2.791,0.4141,0.6387
7124,0.0428,-0.2456,1.0269,-2.8281,0.3262,0.5371
7147,0.0393,-0.2443,1.031,-2.8809,0.2207,0.4199
7170,0.0415,-0.2446,1.0305,-2.9258,0.1465,0.3457
7193,0.0393,-0.2423,1.0316,-2.9922,0.0449,0.2578
7216,0.0396,-0.2473,1.0331,-3.0312,-0.0059,0.2266
7239,0.0396,-0.2352,1.0306,-3.0879,-0.0566,0.2187
7262,0.0408,-0.2433,1.0305,-3.1387,-0.1094,0.2246
7285,0.0448,-0.2445,1.031,-3.25,-0.2832,0.2168
7308,0.0403,-0.2439,1.0325,-3.4141,-0.6113,0.1562
7331,0.0402,-0.2438,1.0311,-3.5352,-0.8945,0.0859
7354,0.0417,-0.2438,1.0325,-3.709,-1.3398,-0.0488
7377,0.0394,-0.2416,1.0336,-3.8008,-1.6074,-0.1406
7400,0.0461,-0.2427,1.031,-3.8848,-1.9141,-0.2598
7423,0.0387,-0.2433,1.0332,-3.9043,-2.1055,-0.3418
7446,0.0398,-0.2419,1.0365,-3.8887,-2.1895,-0.377
7469,0.0555,-0.2406,1.0265,-3.8379,-2.3105,-0.4082
7492,0.0588,-0.2245,1.0247,-3.793,-2.4453,-0.416
7515,0.0389,-0.2539,1.0366,-3.6992,-2.7656,-0.3535
7538,0.0588,-0.2423,1.0271,-3.459,-3.0488,-0.1367
7561,0.0717,-0.2394,1.0227,-3.1621,-3.082,0.082
7584,0.0337,-0.2354,1.0419,-2.5195,-2.7598,0.5039
7607,0.0409,-0.2354,1.0326,-2.0039,-2.2559,0.8809
7630,0.0422,-0.2341,1.0295,-1.2148,-1.125,1.6035
7653,0.0391,-0.239,1.0366,-0.7637,0.2578,2.4512
7676,0.0403,-0.2334,1.0299,-0.3164,1.0547,3.0332
7699,0.0393,-0.2367,1.037,-0.2031,2.0879,3.834
7722,0.0398,-0.2339,1.0304,-0.3145,2.541,4.2598
7745,0.0397,-0.2368,1.0339,-0.7266,2.8047,4.6309
7768,0.0396,-0.234,1.0333,-1.1172,2.7227,4.668
7791,0.0397,-0.2343,1.0304,-1.7813,2.3301,4.418
7814,0.0394,-0.2338,1.0323,-2.4258,1.7695,3.8437
7837,0.0396,-0.2324,1.0355,-2.7988,1.3867,3.3262
7860,0.0396,-0.2336,1.0334,-3.2344,0.8887,2.4297
7883,0.0396,-0.2338,1.0338,-3.4375,0.625,1.7988
7906,0.0396,-0.235,1.0308,-3.625,0.3027,0.8809
7929,0.0397,-0.2345,1.0327,-3.6855,0.0312,0.0898
7952,0.0393,-0.2332,1.0323,-3.6504,-0.123,-0.3184
7975,0.0356,-0.234,1.0354,-3.4727,-0.2715,-0.7051
7998,0.0377,-0.2299,1.0341,-3.2754,-0.2852,-0.8086
8021,0.0386,-0.2314,1.035,-2.9219,-0.1719,-0.7637
8044,0.0392,-0.2323,1.0331,-2.6953,0.0293,-0.5547
8067,0.0387,-0.2314,1.0338,-2.4473,0.1602,-0.3789
8090,0.0387,-0.2325,1.0315,-2.3691,0.2793,-0.1309
8113,0.0356,-0.2302,1.0353,-2.4141,0.2832,-0.002
8136,0.0396,-0.2314,1.032,-2.5918,0.1699,0.1211
8159,0.0393,-0.2307,1.0314,-2.7598,0.0215,0.1543
8182,0.0352,-0.2308,1.0347,-3.043,-0.2773,0.1504
8205,0.0403,-0.2305,1.0316,-3.3047,-0.5996,0.1094
8228,0.038,-0.2311,1.0322,-3.4434,-0.791,0.0762
8251,0.0328,-0.2308,1.0338,-3.5801,-1.0078,0.0391
8274,0.0381,-0.2308,1.0323,-3.6152,-1.0918,0.0254
8297,0.0389,-0.2302,1.0289,-3.5898,-1.127,0.0234
8320,0.0236,-0.2273,1.0354,-3.4941,-1.0645,0.0391
8343,0.0338,-0.2297,1.0339,-3.4043,-0.9766,0.0566
8366,0.0381,-0.2306,1.0334,-3.2734,-0.8262,0.0742
8389,0.0304,-0.2295,1.0353,-3.2148,-0.7598,0.0684
8412,0.0399,-0.2324,1.0313,-3.2031,-0.7812,0.0039
8435,0.036,-0.2321,1.0341,-3.2988,-0.9922,-0.1328
8458,0.0381,-0.2311,1.0319,-3.4141,-1.2305,-0.2598
8481,0.0356,-0.2314,1.0321,-3.6348,-1.6719,-0.4746
8504,0.0364,-0.2303,1.0334,-3.7891,-1.9785,-0.6152
8527,0.035,-0.2314,1.0327,-3.9941,-2.3848,-0.793
8550,0.0399,-0.2334,1.0309,-4.0977,-2.5859,-0.9121
8573,0.0291,-0.2317,1.0369,-4.1855,-2.7617,-0.9531
8596,0.0385,-0.2329,1.0322,-4.1934,-2.7812,-0.9609
8619,0.0386,-0.2323,1.0306,-4.1621,-2.7324,-0.9434
8642,0.0332,-0.2302,1.0352,-4.0723,-2.6133,-0.8926
8665,0.0398,-0.2313,1.0315,-3.9883,-2.5117,-0.8496
8688,0.0372,-0.2318,1.0298,-3.8437,-2.3301,-0.7715
8711,0.0325,-0.2317,1.0367,-3.6855,-2.1191,-0.6777
8734,0.0404,-0.2336,1.0321,-3.5801,-1.9609,-0.6035
