timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
2902724,0.0396,-0.1115,1.0438,-3.4883,0.8223,-0.291
2902747,0.0396,-0.1112,1.0413,-3.4648,1.1953,-0.3281
2902770,0.0396,-0.1115,1.0414,-3.4766,1.3379,-0.3867
2902793,0.0396,-0.1105,1.0413,-3.543,1.3359,-0.5078
2902816,0.0396,-0.111,1.0428,-3.6152,1.1758,-0.5957
2902839,0.0396,-0.1111,1.0428,-3.7559,0.7031,-0.7129
2902862,0.0396,-0.1113,1.0398,-3.9023,0.0234,-0.7891
2902885,0.0396,-0.1124,1.0387,-3.9902,-0.4863,-0.8047
2902908,0.0396,-0.1107,1.0415,-4.0879,-1.248,-0.7754
2902931,0.0396,-0.1106,1.0411,-4.125,-1.7051,-0.7246
2902954,0.0396,-0.1105,1.0415,-4.1426,-2.25,-0.6152
2902977,0.0396,-0.1111,1.0392,-4.1152,-2.5859,-0.4902
2903000,0.0396,-0.1099,1.0409,-4.0781,-2.6914,-0.4102
2903023,0.0396,-0.111,1.0393,-4.0059,-2.6895,-0.3027
2903046,0.04,-0.1102,1.0396,-3.9531,-2.6074,-0.2461
2903069,0.0396,-0.1105,1.0422,-3.875,-2.4004,-0.1816
2903092,0.0396,-0.1096,1.0404,-3.8301,-2.127,-0.1387
2903115,0.0396,-0.1113,1.0393,-3.7754,-1.9297,-0.1191
2903138,0.0396,-0.1101,1.0397,-3.752,-1.6602,-0.0937
2903161,0.0396,-0.1106,1.0377,-3.7578,-1.5195,-0.0781
2903184,0.0399,-0.1101,1.0398,-3.7988,-1.3809,-0.0527
2903207,0.0396,-0.1104,1.0404,-3.8457,-1.3281,-0.0371
2903230,0.04,-0.1102,1.0399,-3.9297,-1.2813,-0.0098
2903253,0.0394,-0.111,1.0381,-4.0176,-1.2344,0.0156
2903276,0.0396,-0.1104,1.0391,-4.0664,-1.1914,0.0273
2903299,0.0396,-0.1104,1.0397,-4.1211,-1.1035,0.0352
2903322,0.0396,-0.1106,1.0408,-4.1426,-1.0332,0.0293
2903345,0.0396,-0.1094,1.0416,-4.1543,-0.9238,0.0059
2903368,0.0396,-0.11,1.0406,-4.1523,-0.8398,-0.0293
2903391,0.0396,-0.1104,1.0405,-4.1445,-0.8105,-0.0527
2903414,0.0396,-0.1093,1.04,-4.1367,-0.8203,-0.0762
2903437,0.0397,-0.1111,1.0398,-4.1328,-0.8672,-0.0742
2903460,0.0398,-0.1107,1.0417,-4.1387,-1.002,-0.0312
2903483,0.0394,-0.111,1.0398,-4.1484,-1.209,0.0684
2903506,0.04,-0.1107,1.0403,-4.1758,-1.3867,0.1699
2903529,0.0411,-0.1105,1.0413,-4.2187,-1.7051,0.3672
2903552,0.0417,-0.1105,1.0398,-4.25,-1.9414,0.5176
2903575,0.0424,-0.1108,1.04,-4.2988,-2.2949,0.7441
2903598,0.0415,-0.1113,1.04,-4.3242,-2.4961,0.875
2903621,0.0419,-0.1117,1.0399,-4.3418,-2.6875,1.0078
2903644,0.0409,-0.1113,1.0396,-4.3301,-2.6875,1.0352
2903667,0.0413,-0.1116,1.0415,-4.3066,-2.5703,0.9902
2903690,0.0404,-0.11,1.0396,-4.2461,-2.2324,0.834
2903713,0.04,-0.1093,1.0397,-4.1895,-1.9121,0.6836
2903736,0.0394,-0.1108,1.0405,-4.082,-1.332,0.4199
2903759,0.0403,-0.1113,1.0398,-3.9512,-0.6895,0.1484
2903782,0.0397,-0.1111,1.04,-3.8594,-0.2695,-0.0176
2903805,0.0397,-0.1095,1.0396,-3.7207,0.2773,-0.2227
2903828,0.041,-0.1099,1.0402,-3.6309,0.543,-0.3262
2903851,0.0394,-0.1089,1.0417,-3.5117,0.7305,-0.4199
2903874,0.0399,-0.1105,1.0391,-3.4473,0.6582,-0.4395
2903897,0.0394,-0.1078,1.0394,-3.3887,0.4902,-0.4121
2903920,0.0396,-0.1095,1.0404,-3.3965,0.1348,-0.3164
2903943,0.0396,-0.1095,1.042,-3.4492,-0.1289,-0.2324
2903966,0.0397,-0.11,1.041,-3.6016,-0.5137,-0.1035
2903989,0.0404,-0.1101,1.0417,-3.748,-0.75,-0.0293
2904012,0.0403,-0.1105,1.0415,-4.0117,-1.0762,0.043
2904035,0.0405,-0.1107,1.0404,-4.2891,-1.3652,0.0605
2904058,0.0397,-0.1112,1.0404,-4.4551,-1.5234,0.043
2904081,0.0402,-0.111,1.0413,-4.6406,-1.6816,-0.0156
2904104,0.0394,-0.1118,1.0411,-4.7109,-1.7246,-0.0703
2904127,0.0396,-0.1118,1.0404,-4.7344,-1.6836,-0.1582
2904150,0.0396,-0.1125,1.0394,-4.6699,-1.5313,-0.2422
2904173,0.0396,-0.1104,1.0398,-4.5918,-1.3867,-0.2891
2904196,0.0405,-0.1115,1.0392,-4.4512,-1.1445,-0.3418
2904219,0.0397,-0.1116,1.0398,-4.3555,-0.9883,-0.3633
2904242,0.0397,-0.1115,1.0416,-4.2227,-0.791,-0.377
2904265,0.04,-0.111,1.0406,-4.1211,-0.6641,-0.373
2904288,0.04,-0.1107,1.0398,-4.0723,-0.6191,-0.3652
2904311,0.0396,-0.1105,1.0414,-4.0195,-0.5937,-0.3496
2904334,0.0402,-0.1119,1.0386,-3.998,-0.5898,-0.3418
2904357,0.0394,-0.1127,1.0399,-3.9805,-0.5898,-0.3359
2904380,0.0396,-0.1117,1.0403,-3.9766,-0.5918,-0.3379
2904403,0.0396,-0.1105,1.0413,-3.9727,-0.5918,-0.3594
2904426,0.0396,-0.1105,1.0421,-3.9687,-0.5781,-0.4004
2904449,0.0396,-0.1105,1.042,-3.9648,-0.5586,-0.4375
2904472,0.0396,-0.1111,1.0408,-3.9512,-0.5137,-0.502
2904495,0.0424,-0.113,1.0378,-3.9355,-0.4902,-0.543
2904518,0.0399,-0.1102,1.041,-3.9043,-0.5039,-0.6074
2904541,0.0396,-0.1099,1.0397,-3.877,-0.5918,-0.6719
2904564,0.0405,-0.1091,1.0396,-3.8691,-0.6875,-0.7109
2904587,0.0398,-0.1101,1.0402,-3.8828,-0.8789,-0.748
