timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
5192,0.0411,-0.4293,0.9972,-3.3281,-1.1172,-0.1465
5215,0.0409,-0.4318,1.0007,-3.3379,-0.9902,-0.1172
5238,0.0392,-0.4336,1.0027,-3.3613,-0.8848,-0.1055
5261,0.0402,-0.4331,0.9982,-3.3789,-0.8652,-0.1191
5284,0.0397,-0.4308,0.9991,-3.4082,-0.9063,-0.1562
5307,0.0399,-0.4291,0.9995,-3.4277,-1.4727,-0.2129
5330,0.0394,-0.4297,0.9989,-3.4531,-1.1211,-0.2559
5353,0.0397,-0.4333,1.0005,-3.4727,-1.3027,-0.3203
5376,0.0394,-0.4344,0.9994,-3.4844,-1.4258,-0.3555
5399,0.0396,-0.4331,0.9999,-3.498,-1.5859,-0.3965
5422,0.0396,-0.4324,1.0015,-3.5039,-1.666,-0.4102
5445,0.0396,-0.4302,0.9996,-3.5098,-1.7363,-0.4141
5468,0.0396,-0.4307,0.9983,-3.5059,-1.7637,-0.4043
5491,0.0396,-0.4321,0.9991,-3.4961,-1.7715,-0.3965
5514,0.0396,-0.4338,0.9977,-3.4707,-1.7773,-0.3848
5537,0.0396,-0.4329,1.0004,-3.4434,-1.7676,-0.375
5560,0.0396,-0.4309,1.0001,-3.3906,-1.7246,-0.3555
5583,0.0396,-0.4297,0.9996,-3.332,-1.6465,-0.3242
5606,0.0396,-0.4299,1.0009,-3.293,-1.584,-0.3027
5629,0.0396,-0.4313,0.9998,-3.2422,-1.5,-0.2715
5652,0.0396,-0.4316,0.9995,-3.2227,-1.4609,-0.2578
5675,0.0396,-0.432,1.0001,-3.2207,-1.4473,-0.248
5698,0.0396,-0.4304,1.0015,-3.2363,-1.4883,-0.25
5721,0.0396,-0.4292,0.9994,-3.2812,-1.5371,-0.2598
5744,0.0396,-0.4297,0.9991,-3.3379,-1.6309,-0.2793
5767,0.0415,-0.4318,0.9971,-3.377,-1.6973,-0.2949
5790,0.0398,-0.4332,1.0004,-3.4297,-1.7988,-0.3223
5813,0.0396,-0.4319,0.9987,-3.457,-1.8516,-0.3398
5836,0.0396,-0.4297,0.9984,-3.4746,-1.8652,-0.3516
5859,0.0396,-0.4288,0.999,-3.4707,-1.7754,-0.3359
5882,0.0396,-0.4298,1.0007,-3.457,-1.666,-0.3105
5905,0.0396,-0.431,0.9999,-3.4258,-1.4492,-0.2559
5928,0.0396,-0.432,0.9984,-3.4043,-1.2891,-0.2129
5951,0.0394,-0.4315,0.9996,-3.375,-1.0586,-0.1543
5974,0.0396,-0.4316,1.0016,-3.3516,-0.8672,-0.1113
5997,0.0396,-0.4297,0.9985,-3.3398,-0.7754,-0.0918
6020,0.0396,-0.4308,1.0006,-3.3262,-0.7012,-0.084
6043,0.0396,-0.431,0.9978,-3.3223,-0.6953,-0.0918
6066,0.0396,-0.4326,0.9995,-3.3184,-0.7344,-0.1152
6089,0.0396,-0.4307,0.9993,-3.3145,-0.8105,-0.1484
6112,0.0394,-0.4296,1.0012,-3.3105,-0.8633,-0.1699
6135,0.0396,-0.4296,1.0015,-3.2969,-0.9258,-0.1953
6158,0.0394,-0.4291,1.0009,-3.2852,-0.9492,-0.2031
6181,0.0396,-0.4304,1.0007,-3.2637,-0.9551,-0.2051
6204,0.0396,-0.4309,1.0005,-3.248,-0.9492,-0.2031
6227,0.0396,-0.4301,0.9999,-3.2324,-0.9414,-0.1973
6250,0.0396,-0.4283,1.0012,-3.2285,-0.9609,-0.1953
6273,0.0396,-0.4293,1.0,-3.2324,-1.0,-0.1992
6296,0.0396,-0.4303,1.0009,-3.25,-1.0996,-0.2148
6319,0.0396,-0.4314,1.0009,-3.2676,-1.1914,-0.2324
6342,0.0396,-0.4302,1.0,-3.2969,-1.3457,-0.2637
6365,0.0396,-0.4288,1.0009,-3.3301,-1.5117,-0.3008
6388,0.0396,-0.4283,1.0005,-3.3535,-1.623,-0.3262
6411,0.0396,-0.4288,1.0011,-3.3828,-1.7773,-0.3652
6434,0.0396,-0.4302,0.9991,-3.3965,-1.8633,-0.3906
6457,0.0396,-0.4302,1.0026,-3.4121,-1.9688,-0.4199
6480,0.0396,-0.4303,0.9989,-3.418,-2.0469,-0.4434
6503,0.0396,-0.4292,1.0001,-3.4199,-2.0879,-0.4551
6526,0.0396,-0.4297,0.9994,-3.4199,-2.123,-0.4629
6549,0.0396,-0.4294,1.0007,-3.418,-2.125,-0.4609
6572,0.0396,-0.4302,0.9977,-3.4141,-2.0937,-0.4492
6595,0.0396,-0.4307,0.9987,-3.4121,-2.0566,-0.4316
6618,0.0396,-0.4305,0.9688,-3.4043,-1.9824,-0.4141
6641,0.0396,-0.4305,1.0006,-3.3965,-1.8867,-0.3809
6664,0.0396,-0.4293,1.0009,-3.3906,-1.8184,-0.3516
6687,0.0396,-0.4303,0.9978,-3.3789,-1.7148,-0.3066
6710,0.0396,-0.4299,1.0002,-3.373,-1.6543,-0.2773
6733,0.0396,-0.4294,1.0016,-3.3672,-1.5898,-0.2383
6756,0.0396,-0.4297,1.0016,-3.3691,-1.5605,-0.2129
6779,0.0396,-0.4297,1.0005,-3.375,-1.5605,-0.2031
6802,0.0396,-0.4299,1.0006,-3.3828,-1.5762,-0.1973
6825,0.0396,-0.4297,1.0018,-3.3887,-1.5918,-0.1973
6848,0.0396,-0.4292,1.0,-3.3984,-1.6172,-0.207
6871,0.0396,-0.4304,1.0009,-3.4043,-1.6426,-0.2227
6894,0.0396,-0.4287,1.0002,-3.4102,-1.6563,-0.2344
6917,0.0396,-0.4297,1.0009,-3.416,-1.6602,-0.248
6940,0.0396,-0.4288,0.9999,-3.418,-1.6484,-0.25
6963,0.0396,-0.4294,0.9993,-3.4199,-1.6035,-0.2461
6986,0.0396,-0.4301,1.0011,-3.4199,-1.5254,-0.2324
7009,0.0396,-0.4297,0.9999,-3.418,-1.459,-0.2207
7032,0.0396,-0.4296,1.0,-3.416,-1.3457,-0.1992
7055,0.0396,-0.4291,1.0002,-3.4141,-1.2754,-0.1875
7078,0.0396,-0.4301,1.0021,-3.4121,-1.1836,-0.1758
7101,0.0396,-0.4292,0.999,-3.4121,-1.1426,-0.1738
7124,0.0396,-0.4298,0.9998,-3.4141,-1.1211,-0.1836
7147,0.0396,-0.4296,0.9996,-3.4199,-1.1582,-0.2129
7170,0.0396,-0.4296,1.002,-3.4219,-1.2109,-0.2383
7193,0.0396,-0.4287,0.9996,-3.4277,-1.3203,-0.2871
7216,0.0396,-0.4298,1.0012,-3.4316,-1.4043,-0.3203
7239,0.0396,-0.4298,1.0005,-3.4336,-1.5332,-0.3691
7262,0.0396,-0.4299,1.0006,-3.4355,-1.6523,-0.4141
7285,0.0396,-0.4294,1.0021,-3.4355,-1.7227,-0.4355
7308,0.0396,-0.4296,1.0005,-3.4375,-1.7988,-0.457
7331,0.0396,-0.4303,1.0012,-3.4395,-1.8262,-0.4609
7354,0.0396,-0.4303,0.9994,-3.4473,-1.8262,-0.4551
7377,0.0396,-0.4305,1.0017,-3.4512,-1.7813,-0.4355
7400,0.0396,-0.4303,1.0002,-3.459,-1.7383,-0.4199
7423,0.0396,-0.4291,1.0004,-3.4648,-1.668,-0.3906
7446,0.0396,-0.4302,0.9983,-3.4687,-1.627,-0.3711
7469,0.0396,-0.4288,1.0001,-3.4707,-1.582,-0.3437
7492,0.0402,-0.4298,1.0001,-3.4707,-1.5703,-0.3301
7515,0.0394,-0.4293,0.9983,-3.4727,-1.582,-0.3164
7538,0.0396,-0.4297,1.0013,-3.4785,-1.6289,-0.3203
