timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
1159,-0.1022,-0.2349,0.9955,-7.248,-7.2324,-7.1797
1182,-0.0426,-0.1753,1.0531,-14.0723,-14.0898,-13.8516
1205,-0.0591,-0.1918,1.0374,-18.3965,-18.4531,-18.0195
1228,-0.0562,-0.1874,1.0414,-23.1074,-23.1719,-22.3926
1251,-0.058,-0.1877,1.0404,-24.791,-24.7188,-23.6211
1274,-0.0544,-0.1887,1.0402,-24.1699,-23.9063,-22.6465
1297,-0.0553,-0.1888,1.0397,-21.0938,-20.4063,-19.0059
1320,-0.0557,-0.1893,1.0383,-18.0664,-17.0352,-15.6074
1343,-0.056,-0.1886,1.0392,-12.9258,-11.3437,-9.959
1366,-0.0552,-0.1885,1.0387,-9.5684,-7.627,-4.8105
1389,-0.0551,-0.1885,1.0378,-5.2402,-2.8301,-1.6504
1412,-0.0549,-0.1895,1.0405,-2.1816,0.5742,1.6094
1435,-0.057,-0.1887,1.038,-0.9316,1.9785,2.9258
1458,-0.0557,-0.1879,1.0402,-0.1484,2.8809,3.7305
1481,-0.0554,-0.1887,1.0391,-0.2285,2.8203,3.627
1504,-0.0542,-0.1897,1.0392,-0.9668,2.0488,2.8262
1527,-0.0569,-0.1888,1.0388,-2.082,0.8574,1.6387
1550,-0.0564,-0.1881,1.0396,-2.8555,0.0234,0.8164
1573,-0.0544,-0.1892,1.0397,-3.8652,-1.0762,-0.2578
1596,-0.0542,-0.1886,1.0394,-4.373,-1.6348,-0.7969
1619,-0.0564,-0.1893,1.0385,-4.8418,-2.1582,-1.293
1642,-0.0548,-0.1902,1.0394,-4.9883,-2.3281,-1.4375
1665,-0.0555,-0.1892,1.0388,-4.9414,-2.2812,-1.377
1688,-0.0554,-0.1882,1.0388,-4.7285,-2.0488,-1.1367
1711,-0.0542,-0.1881,1.0398,-4.5352,-1.834,-0.9219
1734,-0.0554,-0.1881,1.041,-4.2285,-1.498,-0.5918
1757,-0.0554,-0.1877,1.0398,-4.0469,-1.2949,-0.3086
1780,-0.0552,-0.1895,1.041,-3.834,-1.0586,-0.168
1803,-0.0536,-0.1891,1.0403,-3.7109,-0.916,-0.041
1826,-0.0552,-0.1896,1.0409,-3.6797,-0.873,-0.0078
1849,-0.0549,-0.1895,1.0389,-3.6992,-0.877,-0.0234
1872,-0.0552,-0.1896,1.0402,-3.748,-0.9141,-0.0645
1895,-0.0536,-0.1881,1.0399,-3.8418,-0.998,-0.1523
1918,-0.0552,-0.189,1.0394,-3.9355,-1.0918,-0.2441
1941,-0.0541,-0.1897,1.0382,-3.9863,-1.1504,-0.2969
1964,-0.056,-0.1895,1.0392,-4.0312,-1.2129,-0.3535
