timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
637178,-0.1366,-0.1398,1.0345,-3.7852,-0.9746,-0.3125
637201,-0.1376,-0.1398,1.0365,-3.7871,-0.9766,-0.3125
637224,-0.1373,-0.1387,1.0349,-3.791,-0.9941,-0.3105
637247,-0.1387,-0.1395,1.0371,-3.791,-1.0117,-0.3086
637270,-0.1385,-0.1392,1.0342,-3.791,-1.043,-0.2988
637293,-0.1373,-0.1383,1.0331,-3.791,-1.0664,-0.2871
637316,-0.1366,-0.1394,1.0348,-3.791,-1.082,-0.2793
637339,-0.1378,-0.1401,1.0349,-3.791,-1.1055,-0.2676
637362,-0.1372,-0.1396,1.0358,-3.793,-1.123,-0.2617
637385,-0.1362,-0.1404,1.0348,-3.7949,-1.1465,-0.2578
637408,-0.1376,-0.1388,1.0348,-3.8008,-1.1641,-0.2598
637431,-0.1379,-0.14,1.035,-3.8047,-1.1699,-0.2637
637454,-0.1378,-0.1401,1.0365,-3.8086,-1.1719,-0.2715
637477,-0.1372,-0.14,1.0348,-3.8086,-1.1719,-0.2793
637500,-0.1356,-0.1365,1.0349,-3.8105,-1.1699,-0.2871
637523,-0.1384,-0.1382,1.0332,-3.8086,-1.1641,-0.293
637546,-0.1383,-0.1399,1.0356,-3.8086,-1.1543,-0.2949
637569,-0.1372,-0.1404,1.0383,-3.8066,-1.127,-0.2969
637592,-0.1364,-0.14,1.036,-3.8047,-1.1074,-0.2969
637615,-0.1376,-0.1389,1.0353,-3.8027,-1.0859,-0.2949
637638,-0.1368,-0.1364,1.0333,-3.7988,-1.0781,-0.293
637661,-0.1373,-0.1387,1.0355,-3.791,-1.0625,-0.291
637684,-0.1367,-0.1403,1.0337,-3.7812,-1.0352,-0.291
637707,-0.1373,-0.1416,1.0364,-3.7754,-1.0098,-0.291
637730,-0.1378,-0.1398,1.0363,-3.7715,-0.9648,-0.293
637753,-0.1373,-0.1381,1.0342,-3.7695,-0.9375,-0.2949
637776,-0.1371,-0.1373,1.0326,-3.7695,-0.9141,-0.293
637799,-0.1381,-0.1385,1.0356,-3.7715,-0.9121,-0.2891
637822,-0.1388,-0.1412,1.0363,-3.7715,-0.918,-0.2852
637845,-0.1371,-0.141,1.0361,-3.7754,-0.9277,-0.2773
637868,-0.137,-0.1398,1.0352,-3.7793,-0.9395,-0.2734
637891,-0.1351,-0.1383,1.0339,-3.7832,-0.9688,-0.2695
637914,-0.1376,-0.1393,1.0343,-3.7871,-1.0176,-0.2656
637937,-0.1392,-0.1393,1.0336,-3.7891,-1.0547,-0.2637
637960,-0.1385,-0.1401,1.0345,-3.7871,-1.1055,-0.2617
637983,-0.1379,-0.1404,1.0347,-3.7852,-1.1328,-0.2617
638006,-0.1365,-0.1401,1.0341,-3.7832,-1.1719,-0.2676
638029,-0.134,-0.1378,1.0341,-3.7812,-1.2051,-0.2754
638052,-0.1361,-0.1376,1.0349,-3.7852,-1.2676,-0.2871
638075,-0.1372,-0.1385,1.0337,-3.791,-1.3359,-0.2988
638098,-0.1373,-0.1393,1.0361,-3.7969,-1.3691,-0.3047
638121,-0.1368,-0.1409,1.0349,-3.8066,-1.3887,-0.3105
638144,-0.1371,-0.1406,1.0353,-3.8105,-1.3828,-0.3125
638167,-0.1343,-0.139,1.0336,-3.8145,-1.3555,-0.3125
638190,-0.1355,-0.1381,1.033,-3.8145,-1.3086,-0.3125
638213,-0.1372,-0.1394,1.0347,-3.8105,-1.2734,-0.3105
638236,-0.1376,-0.1396,1.0358,-3.8027,-1.2109,-0.3047
638259,-0.136,-0.1404,1.036,-3.7949,-1.166,-0.2988
638282,-0.1354,-0.14,1.0344,-3.7812,-1.1035,-0.293
638305,-0.136,-0.1392,1.0347,-3.7695,-1.0586,-0.291
638328,-0.1367,-0.1375,1.0354,-3.7637,-1.041,-0.291
638351,-0.1377,-0.1398,1.036,-3.7578,-1.0234,-0.2949
638374,-0.1371,-0.1414,1.0345,-3.7578,-1.0117,-0.2949
638397,-0.1366,-0.1406,1.0364,-3.7578,-0.998,-0.2969
638420,-0.1351,-0.1396,1.035,-3.7578,-0.9941,-0.2949
638443,-0.1371,-0.1385,1.0354,-3.7598,-0.9941,-0.291
638466,-0.1373,-0.139,1.0367,-3.7637,-0.998,-0.2852
638489,-0.1371,-0.1417,1.0354,-3.7656,-0.998,-0.2773
638512,-0.1367,-0.1404,1.0364,-3.7715,-0.9922,-0.2676
638535,-0.1364,-0.1394,1.0343,-3.7754,-0.9883,-0.2617
638558,-0.1361,-0.1372,1.0349,-3.7812,-0.9883,-0.252
638581,-0.1366,-0.1392,1.0341,-3.7832,-0.998,-0.248
638604,-0.1366,-0.1393,1.0334,-3.7832,-1.0039,-0.248
638627,-0.1368,-0.1403,1.0356,-3.7812,-1.0078,-0.252
638650,-0.1359,-0.1395,1.0345,-3.7793,-1.002,-0.2559
638673,-0.1373,-0.1392,1.033,-3.7773,-0.9883,-0.2637
638696,-0.1365,-0.14,1.0352,-3.7773,-0.9727,-0.2715
638719,-0.1364,-0.1403,1.0353,-3.7773,-0.9648,-0.2773
638742,-0.1359,-0.1383,1.0365,-3.7812,-0.9551,-0.2852
638765,-0.1367,-0.1404,1.0352,-3.7871,-0.9531,-0.2871
638788,-0.1357,-0.1404,1.0342,-3.7969,-0.9648,-0.2871
638811,-0.1354,-0.1398,1.0344,-3.8027,-0.9844,-0.2852
638834,-0.1348,-0.136,1.0354,-3.8086,-1.0273,-0.2832
638857,-0.1366,-0.1382,1.0354,-3.8066,-1.0742,-0.2852
638880,-0.1362,-0.1404,1.035,-3.8047,-1.1016,-0.2871
638903,-0.1356,-0.142,1.0365,-3.8008,-1.1328,-0.291
638926,-0.1349,-0.14,1.036,-3.7969,-1.1484,-0.2949
638949,-0.135,-0.1409,1.0331,-3.793,-1.1719,-0.2988
638972,-0.1365,-0.1368,1.0336,-3.791,-1.1992,-0.3008
638995,-0.1356,-0.1372,1.0343,-3.7891,-1.2148,-0.3008
639018,-0.1359,-0.1396,1.0363,-3.7832,-1.2246,-0.3008
639041,-0.1378,-0.1417,1.0355,-3.7773,-1.2188,-0.3008
639064,-0.1354,-0.1406,1.0365,-3.7695,-1.1934,-0.2988
639087,-0.1361,-0.1393,1.0361,-3.7617,-1.1582,-0.2988
639110,-0.1385,-0.1378,1.0336,-3.7598,-1.1348,-0.3008
639133,-0.1364,-0.1384,1.0355,-3.7559,-1.0977,-0.3047
639156,-0.1373,-0.1401,1.0358,-3.7539,-1.0703,-0.3047
639179,-0.1354,-0.141,1.0372,-3.7578,-1.0371,-0.3027
639202,-0.1364,-0.1406,1.0353,-3.7637,-1.0215,-0.2969
639225,-0.1359,-0.139,1.0341,-3.7734,-1.0137,-0.291
639248,-0.1362,-0.1384,1.0349,-3.7832,-1.0195,-0.2812
639271,-0.1377,-0.1398,1.0359,-3.7891,-1.0234,-0.2754
639294,-0.137,-0.1403,1.0372,-3.793,-1.0234,-0.2676
639317,-0.1364,-0.1401,1.0366,-3.7949,-1.0195,-0.2656
639340,-0.1346,-0.14,1.035,-3.7949,-1.0156,-0.2676
639363,-0.1355,-0.1399,1.0361,-3.793,-1.0156,-0.2734
639386,-0.1349,-0.1387,1.0359,-3.791,-1.0176,-0.2793
639409,-0.1371,-0.1394,1.0366,-3.7871,-1.0137,-0.291
639432,-0.1372,-0.1385,1.0356,-3.7832,-1.002,-0.2988
639455,-0.1346,-0.1388,1.036,-3.7773,-0.9707,-0.3086
639478,-0.1353,-0.1384,1.0353,-3.7754,-0.9355,-0.3164
639501,-0.137,-0.1393,1.035,-3.7754,-0.916,-0.3203
639524,-0.1362,-0.1406,1.0353,-3.7773,-0.8945,-0.3262
639547,-0.1375,-0.1421,1.0369,-3.7793,-0.8848,-0.3262
639570,-0.1364,-0.1414,1.0361,-3.7871,-0.8848,-0.3242
639593,-0.1359,-0.1379,1.0343,-3.793,-0.8984,-0.3203
639616,-0.1382,-0.1387,1.0344,-3.8027,-0.9395,-0.3184
639639,-0.1339,-0.1416,1.0361,-3.8086,-0.9961,-0.3164
639662,-0.1364,-0.1425,1.0353,-3.8125,-1.0371,-0.3145
639685,-0.1366,-0.1412,1.0356,-3.8145,-1.0938,-0.3125
639708,-0.1342,-0.1393,1.0358,-3.8145,-1.1289,-0.3105
639731,-0.135,-0.1372,1.0349,-3.8105,-1.1758,-0.3066
639754,-0.135,-0.1388,1.0355,-3.8027,-1.2129,-0.3008
639777,-0.136,-0.1409,1.0359,-3.7969,-1.2324,-0.2969
639800,-0.1361,-0.1411,1.0358,-3.7871,-1.2441,-0.293
639823,-0.137,-0.1403,1.0345,-3.7832,-1.2402,-0.291
639846,-0.1349,-0.1417,1.0361,-3.7773,-1.2207,-0.291
639869,-0.1349,-0.1421,1.0358,-3.7734,-1.1875,-0.293
639892,-0.1371,-0.1384,1.0345,-3.7715,-1.1641,-0.2949
639915,-0.1355,-0.1368,1.0352,-3.7676,-1.125,-0.2969
639938,-0.1354,-0.1393,1.0355,-3.7656,-1.0977,-0.2969
639961,-0.1375,-0.141,1.035,-3.7578,-1.0527,-0.2969
639984,-0.1351,-0.1443,1.036,-3.7559,-1.0234,-0.3008
640007,-0.1324,-0.1412,1.0365,-3.7578,-0.9883,-0.3047
640030,-0.1388,-0.1376,1.0341,-3.7676,-0.9707,-0.3145
640053,-0.1387,-0.1357,1.0331,-3.7754,-0.9727,-0.3223
640076,-0.1334,-0.1359,1.035,-3.7832,-0.9746,-0.3379
640099,-0.1381,-0.1378,1.0359,-3.7852,-0.9668,-0.3496
640122,-0.1396,-0.1409,1.0353,-3.7832,-0.9453,-0.3652
640145,-0.136,-0.1444,1.0386,-3.7812,-0.9102,-0.373
640168,-0.1372,-0.144,1.0398,-3.7793,-0.8867,-0.373
640191,-0.1357,-0.1415,1.0372,-3.7773,-0.8594,-0.3672
640214,-0.1321,-0.1384,1.0327,-3.7695,-0.8535,-0.3613
640237,-0.1375,-0.1349,1.035,-3.748,-0.8633,-0.3457
640260,-0.1375,-0.1346,1.0341,-3.7109,-0.873,-0.332
640283,-0.1379,-0.1403,1.0359,-3.6816,-0.873,-0.3242
640306,-0.1382,-0.1438,1.0375,-3.6426,-0.8672,-0.3164
640329,-0.1378,-0.1444,1.0377,-3.623,-0.8691,-0.3145
640352,-0.1334,-0.1395,1.0353,-3.6113,-0.8887,-0.3145
640375,-0.1368,-0.135,1.0315,-3.6094,-0.9141,-0.3164
640398,-0.1398,-0.1329,1.0327,-3.6113,-0.9609,-0.3184
640421,-0.1346,-0.1378,1.0361,-3.6113,-0.9941,-0.3203
640444,-0.1364,-0.1423,1.0374,-3.6133,-1.002,-0.3203
640467,-0.1388,-0.1422,1.0358,-3.6211,-0.998,-0.3203
640490,-0.1345,-0.1399,1.0365,-3.6328,-0.9902,-0.3184
640513,-0.1348,-0.1359,1.0339,-3.6543,-0.9844,-0.3125
640536,-0.1377,-0.135,1.0349,-3.6797,-0.9785,-0.3066
640559,-0.1385,-0.1372,1.0352,-3.6973,-0.9727,-0.3027
640582,-0.1356,-0.1406,1.0367,-3.7227,-0.9512,-0.2969
640605,-0.1379,-0.1423,1.038,-3.7383,-0.9355,-0.2949
640628,-0.1357,-0.1395,1.0377,-3.7598,-0.9141,-0.291
640651,-0.1357,-0.137,1.0343,-3.7773,-0.9023,-0.2891
640674,-0.1366,-0.1365,1.0334,-3.7852,-0.9004,-0.2871
640697,-0.1389,-0.1368,1.0328,-3.793,-0.8984,-0.2891
640720,-0.1387,-0.1406,1.0339,-3.791,-0.8906,-0.2891
640743,-0.1381,-0.1416,1.0354,-3.7871,-0.8711,-0.2891
640766,-0.1373,-0.1403,1.0353,-3.7852,-0.8535,-0.2852
640789,-0.1383,-0.1388,1.0332,-3.7793,-0.8477,-0.2812
640812,-0.1364,-0.1371,1.0349,-3.7773,-0.8555,-0.2734
640835,-0.1379,-0.1376,1.0348,-3.7773,-0.8672,-0.2695
640858,-0.1375,-0.141,1.0345,-3.7773,-0.8926,-0.2695
640881,-0.139,-0.1405,1.0358,-3.7793,-0.9121,-0.2734
640904,-0.1388,-0.1406,1.0334,-3.7832,-0.9414,-0.2871
640927,-0.1361,-0.1387,1.0337,-3.791,-0.9707,-0.3027
640950,-0.1396,-0.1375,1.033,-3.7949,-0.9883,-0.3145
640973,-0.1364,-0.1394,1.0343,-3.7969,-1.0098,-0.3301
640996,-0.1372,-0.1416,1.0367,-3.7988,-1.0156,-0.3359
641019,-0.139,-0.141,1.0326,-3.7988,-1.0195,-0.3398
641042,-0.1362,-0.1394,1.0348,-3.7969,-1.0195,-0.3379
641065,-0.1381,-0.1381,1.0348,-3.793,-1.0254,-0.334
641088,-0.1381,-0.1377,1.0338,-3.7832,-1.041,-0.3262
641111,-0.1368,-0.139,1.0352,-3.7734,-1.0586,-0.3184
641134,-0.1366,-0.1396,1.035,-3.7539,-1.084,-0.3086
641157,-0.1375,-0.1406,1.0336,-3.7422,-1.1094,-0.2969
641180,-0.1387,-0.1394,1.0344,-3.7285,-1.125,-0.291
641203,-0.1361,-0.1384,1.0352,-3.7207,-1.1465,-0.2832
641226,-0.1384,-0.1388,1.0354,-3.7168,-1.1543,-0.2793
641249,-0.1376,-0.1383,1.0352,-3.7187,-1.1602,-0.2754
