timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
1159,-0.1582,-0.2213,0.9928,-7.2461,-7.2266,-7.1836
1182,-0.0977,-0.1617,1.0513,-14.0684,-14.0527,-13.8594
1205,-0.1167,-0.1779,1.0366,-18.3906,-18.3789,-18.0273
1228,-0.11,-0.1735,1.0372,-23.0918,-23.0215,-22.4004
1251,-0.1116,-0.1742,1.0393,-24.5645,-24.498,-23.625
1274,-0.1106,-0.1748,1.037,-24.125,-23.6563,-22.6445
1297,-0.1118,-0.1738,1.0376,-21.0215,-20.1465,-18.9941
1320,-0.1122,-0.1742,1.0387,-17.9707,-16.7832,-15.5859
1343,-0.1118,-0.1742,1.036,-12.7871,-11.125,-9.9219
1366,-0.1117,-0.1744,1.0369,-9.3926,-7.4355,-6.2598
1389,-0.1122,-0.1743,1.0367,-5.0078,-2.6797,-1.5801
1412,-0.11,-0.1738,1.0388,-1.9043,0.6816,1.6973
1435,-0.115,-0.174,1.0389,-0.6309,2.0547,3.0234
1458,-0.1106,-0.1742,1.0382,0.1777,2.916,3.834
1481,-0.1138,-0.1744,1.0385,0.1094,2.834,3.7305
1504,-0.1138,-0.1732,1.0372,-0.6152,2.0488,2.9277
1527,-0.1119,-0.1741,1.0369,-1.7266,0.8555,1.7285
1550,-0.11,-0.1741,1.0386,-2.5078,0.0176,0.8984
1573,-0.1125,-0.1736,1.0382,-3.541,-1.1035,-0.1914
1596,-0.1119,-0.1746,1.0377,-4.0664,-1.6895,-0.7383
1619,-0.1116,-0.174,1.0374,-4.5625,-2.2773,-1.2461
1642,-0.1125,-0.1741,1.0371,-4.7246,-2.5234,-1.3984
1665,-0.1125,-0.1742,1.0377,-4.6855,-2.5195,-1.3418
1688,-0.125,-0.1735,1.0394,-4.4785,-2.3203,-1.1016
1711,-0.105,-0.1755,1.0371,-4.291,-2.1133,-0.8867
1734,-0.1038,-0.174,1.0377,-4.002,-1.8203,-0.5566
1757,-0.0992,-0.1741,1.0381,-3.834,-1.7266,-0.3633
1780,-0.106,-0.1746,1.0372,-3.6543,-1.8359,-0.1504
1803,-0.1118,-0.1749,1.0391,-3.5645,-2.1484,-0.043
